# alpha_scan -- alpha_eff(E) = d ln sigma / d ln E e teto 3^(alpha/2)
# estimador: diferenca centrada em ln E, passo adaptativo por
#            reducao pela metade (h inicial 0.1, piso 3e-3).
#            A rota analitica esta fechada: a interpolacao da
#            tabela e linear em log-log, portanto C^0, e a
#            derivada dela e uma funcao escada.
# faixa_comum_GeV = 1000 1e+14
# dipole.path = dipole/data/sigma_nuN_CC_IIM.dat
# dipole.E_min_GeV = 1000   E_max_GeV = 1e+14   n_pontos = 300
# dipole.convention_y = (E_in - E_out)/E_in
# dipole.target = isoscalar_nucleon
# dipole.projectile = nu
# dipole.current = CC
# dipole.units_sigma = cm^2
# dipole.units_E = GeV
# dipole.M_Z_GeV = 91.1876
# dipole.dipole_model = IIM
# dipole.generated_by = sigma_nuN (PHASIS/dipole) commit 89bbd23-sujo
# dipole.M_W_GeV = 80.379
# dipole.xF3_from = NNPDF31_nlo_as_0118
# dipole.largeXFactor (1-x)^7   [regra de contagem de constituintes, n_s = 4]
# dipole.bCGC [Rezaeian & Schmidt, PRD 88 (2013) 074016, Tabela II, m_c = 1.4]
# colinear.path = data/sigma_nuN_CC_collinear.dat
# colinear.E_min_GeV = 1000   E_max_GeV = 1e+14   n_pontos = 300
# colinear.convention_y = (E_in - E_out)/E_in
# colinear.target = isoscalar_nucleon
# colinear.projectile = nu
# colinear.current = CC
# colinear.units_sigma = cm^2
# colinear.units_E = GeV
# colinear.M_Z_GeV = 91.1876
# colinear.dipole_model = nenhum; colinear NLO, yadism 0.13.11, NNPDF31_nlo_as_0118
# colinear.generated_by = tools/make_collinear_table.py (PHASIS) commit 89bbd23
# colinear.M_W_GeV = 80.379
# colinear.pdf_set = NNPDF31_nlo_as_0118
# colinear.PTO = 1 (0=LO, 1=NLO)
# colinear.esquema = ZM-VFNS, TMC desligada, CKM completa
# colinear.formula = mesma de dipole/src/sigma_nuN_core.cpp, sem o fator (1-x)^7
# colinear.Q2min_GeV2 = 1.0
# colinear.nos_por_decada_Q = 16.0   nos_por_decada_x = 16.0
# colinear.tabela_SF = 121 x 71 nos em (x, Q^2); x em [1e-15, 1], Q^2 em [1, 2e+14]
# colinear.AVISO -- EXTRAPOLACAO DO PDF. Abaixo de x = 1e-09 o LHAPDF extrapola (continuation), e a
# pontos_sem_convergencia_do_passo = 28 de 200
E_GeV,alpha_dipole,alpha_colinear,teto_dipole,teto_colinear
2673841.616,0.4593327181,0.4336024154,1.287000458,1.268938179
3036771.118,0.4557993037,0.4316630887,1.284504907,1.267587119
3448962.26,0.448860809,0.427767333,1.279618517,1.26487743
3917101.491,0.4454736506,0.4259433996,1.27723989,1.263610787
4448782.831,0.4388208476,0.4220942403,1.27258083,1.260941873
5052631.065,0.435568102,0.4203145707,1.270309072,1.259709799
5738441.648,0.4291999137,0.4165768459,1.265873186,1.257126073
6517339.605,0.4260851322,0.414822711,1.263709169,1.255915343
7401959.997,0.4199900238,0.4112104106,1.259485244,1.253425753
8406652.886,0.4170101215,0.4094744444,1.257425305,1.252231085
9547716.114,0.411181355,0.4060258209,1.253405748,1.249861166
10843659.69,0.4083248718,0.4042807365,1.251440592,1.248663641
12315506.03,0.4027512058,0.4010029117,1.247614979,1.246417409
13987131.03,0.4000175335,0.3992431112,1.245742938,1.245213118
15885651.29,0.3946857927,0.3961197338,1.242099796,1.243078549
18041864.09,0.3920695105,0.3943634867,1.240316006,1.241879908
20490746.9,0.3869659225,0.3913040867,1.236843734,1.239794623
23272024.79,0.3844678978,0.3897062755,1.235147725,1.238706948
26430814.87,0.3795772942,0.3866364832,1.23183403,1.236619931
30018358.14,0.3771893959,0.3851907654,1.230219308,1.23563827
34092850.7,0.3725032507,0.3821233399,1.227056638,1.233558027
38720387.82,0.3702145755,0.3807737638,1.225514972,1.232643892
43976036.09,0.3657252993,0.3777791384,1.222496591,1.230617901
49945051.16,0.3635309073,0.3764728966,1.22102389,1.229735217
56724260.68,0.3592281257,0.373601962,1.218141354,1.227797426
64423635.09,0.3571216323,0.3723133912,1.216732646,1.226928674
73168071.43,0.3529919718,0.3695853103,1.213975679,1.225091435
83099419.49,0.3509709185,0.3683084196,1.212628699,1.224232452
94378782.78,0.3470072207,0.3657975215,1.209991335,1.222545091
107189131.9,0.3450626932,0.364460965,1.208699584,1.221647854
121738272.8,0.3412541148,0.36213411,1.206173536,1.220087395
138262217.4,0.3393826121,0.3607606372,1.204934193,1.219167239
157029012.5,0.3357192174,0.3585411612,1.202511912,1.21768177
178343087.7,0.3339201463,0.3572397533,1.201324128,1.216811596
202550193.9,0.3303930694,0.3550184844,1.198998881,1.2153278
230043012,0.3286610311,0.3538659748,1.197858673,1.214558643
261267522.6,0.325261336,0.3515913733,1.195623791,1.213042057
296730240.8,0.3235942357,0.3505925969,1.194529402,1.212376724
