# alpha_scan -- alpha_eff(E) = d ln sigma / d ln E e teto 3^(alpha/2)
# estimador: diferenca centrada em ln E, passo adaptativo por
#            reducao pela metade (h inicial 0.1, piso 3e-3).
#            A rota analitica esta fechada: a interpolacao da
#            tabela e linear em log-log, portanto C^0, e a
#            derivada dela e uma funcao escada.
# faixa_comum_GeV = 1000 1e+14
# dipole.path = dipole/data/sigma_nuN_CC_GBW.dat
# dipole.E_min_GeV = 1000   E_max_GeV = 1e+14   n_pontos = 300
# dipole.convention_y = (E_in - E_out)/E_in
# dipole.target = isoscalar_nucleon
# dipole.projectile = nu
# dipole.current = CC
# dipole.units_sigma = cm^2
# dipole.units_E = GeV
# dipole.M_Z_GeV = 91.1876
# dipole.dipole_model = GBW
# dipole.generated_by = sigma_nuN (PHASIS/dipole) commit 1474a9b-sujo
# dipole.M_W_GeV = 80.379
# dipole.xF3_from = NNPDF31_nlo_as_0118
# colinear.path = data/sigma_nuN_CC_collinear.dat
# colinear.E_min_GeV = 1000   E_max_GeV = 1e+14   n_pontos = 300
# colinear.convention_y = (E_in - E_out)/E_in
# colinear.target = isoscalar_nucleon
# colinear.projectile = nu
# colinear.current = CC
# colinear.units_sigma = cm^2
# colinear.units_E = GeV
# colinear.M_Z_GeV = 91.1876
# colinear.dipole_model = nenhum; colinear NLO, yadism 0.13.11, NNPDF31_nlo_as_0118
# colinear.generated_by = tools/make_collinear_table.py (PHASIS) commit 89bbd23
# colinear.M_W_GeV = 80.379
# colinear.pdf_set = NNPDF31_nlo_as_0118
# colinear.PTO = 1 (0=LO, 1=NLO)
# colinear.esquema = ZM-VFNS, TMC desligada, CKM completa
# colinear.formula = mesma de dipole/src/sigma_nuN_core.cpp, sem o fator (1-x)^7
# colinear.Q2min_GeV2 = 1.0
# colinear.nos_por_decada_Q = 16.0   nos_por_decada_x = 16.0
# colinear.tabela_SF = 121 x 71 nos em (x, Q^2); x em [1e-15, 1], Q^2 em [1, 2e+14]
# pontos_sem_convergencia_do_passo = 34 de 240
E_GeV,alpha_dipole,alpha_colinear,teto_dipole,teto_colinear
1212500.729,0.4462416206,0.454344605,1.277778808,1.283478902
1348053.452,0.4368997311,0.4499423372,1.271238608,1.280378952
1498760.427,0.4323889714,0.4478372983,1.268092647,1.278899292
1666315.838,0.427985336,0.4457677719,1.265028909,1.277446261
1852603.272,0.423679265,0.443622159,1.262040207,1.275941551
2059716.895,0.4153746456,0.4396019566,1.256296171,1.273126971
2289984.991,0.411371612,0.4375416261,1.253536747,1.271686921
2545996.138,0.4074601204,0.4355257206,1.250846282,1.270279499
2830628.306,0.4036459634,0.4336024154,1.248228327,1.268938179
3147081.209,0.3962923625,0.4296593734,1.243196431,1.266192713
3498912.279,0.3927502279,0.427767333,1.240779875,1.26487743
3890076.652,0.3892978978,0.4259433996,1.238429107,1.263610787
4324971.636,0.3859256954,0.4239585528,1.2361372,1.262233837
4808486.136,0.3794360792,0.4203145707,1.23173848,1.259709799
5346055.62,0.376314089,0.4184560293,1.229627947,1.258424407
5943723.218,0.3732658797,0.4165768459,1.22757078,1.257126073
6608207.66,0.3702972701,0.414822711,1.225570642,1.255915343
7346978.799,0.3645818282,0.4112104106,1.221728963,1.253425753
8168341.592,0.3618323716,0.4094744444,1.219885187,1.252231085
9081529.454,0.3591531909,0.4078217406,1.218091214,1.251094775
10096808.06,0.3565429588,0.4060258209,1.216345946,1.249861166
11225590.75,0.3515154575,0.4026639856,1.212991473,1.247555207
12480566.81,0.3491002518,0.4010029117,1.21138328,1.246417409
13875844.18,0.3467419362,0.3992431112,1.209815025,1.245213118
15427107.96,0.3444466784,0.3976446022,1.208290652,1.244120212
17151796.82,0.3400292815,0.3943634867,1.205362285,1.241879908
19069298.98,0.3379048912,0.3927833703,1.20395652,1.240802464
21201170.21,0.3358350471,0.3913040867,1.202588425,1.239794623
23571376.09,0.333818916,0.3897062755,1.201257328,1.238706948
26206561.49,0.3299339368,0.3866364832,1.198696527,1.236619931
29136350.07,0.328068023,0.3851907654,1.197468543,1.23563827
32393677.27,0.3262444891,0.3835591169,1.196269665,1.234531295
36015160.59,0.3244698103,0.3821233399,1.195104059,1.233558027
40041511.25,0.3210545081,0.3792368877,1.19286409,1.231603714
44517991.77,0.3194078445,0.3777791384,1.191785606,1.230617901
49494924.88,0.3178048198,0.3764728966,1.190736639,1.229735217
55028259.17,0.3162429454,0.3750900524,1.189715488,1.228801459
61180198.07,0.3132287665,0.3723133912,1.187747298,1.226928674
68019899.08,0.3117804063,0.3710869056,1.18680271,1.226102351
75624251.27,0.3103625625,0.3695853103,1.185878752,1.225091435
84078739.56,0.308982367,0.3683084196,1.184980019,1.224232452
93478405.76,0.3063231697,0.3657975215,1.183250366,1.222545091
103928917,0.3050383343,0.364460965,1.182415561,1.221647854
115547753.5,0.3037869243,0.3633100343,1.181603039,1.220875756
128465529.4,0.3025671332,0.36213411,1.180811584,1.220087395
142827460.8,0.3002072602,0.359614608,1.179281898,1.218399989
158794998.7,0.2990704229,0.3585411612,1.1785457,1.21768177
176547643.3,0.2979610384,0.3572397533,1.177827723,1.216811596
196284962.5,0.2968743978,0.3560539238,1.177124889,1.216019243
218228834.8,0.2947817832,0.3538659748,1.175772578,1.214558643
242625944.2,0.2937678346,0.3526215338,1.175117892,1.21372868
269750552.6,0.2927797223,0.3515913733,1.17448024,1.213042057
299907583.6,0.2918160724,0.3505925969,1.173858706,1.212376724
333436049.8,0.2899460423,0.3482679551,1.172653515,1.21082958
370712864.2,0.2890439359,0.3473189689,1.172072571,1.210198558
412157077.1,0.2881629517,0.3461703232,1.171505507,1.209435214
458234587,0.287297597,0.345052794,1.170948771,1.208693011
509463377.8,0.285630086,0.3431200185,1.169876703,1.20741044
566419342.2,0.2848194015,0.3419370124,1.169355857,1.206626081
629742755.2,0.2840291322,0.3409939673,1.16884835,1.206001186
700145472.1,0.2832559312,0.340101836,1.168352017,1.205410326
778418930.6,0.2817568446,0.3379553407,1.167390325,1.203989884
865443048.2,0.2810316718,0.3370954888,1.166925397,1.203421348
962196113.4,0.280323184,0.3360794342,1.166471345,1.202749876
1069765784,0.2796249325,0.335004239,1.166024026,1.202039728
1189361312,0.2782791933,0.333274409,1.165162393,1.200898085
1322327141,0.2776224953,0.3321324225,1.164742162,1.200144997
1470158018,0.2769823338,0.3312537342,1.164332659,1.199565864
1634515794,0.2763553122,0.3304451225,1.1639317,1.199033165
1817248110,0.2751370386,0.3284403711,1.163153052,1.19771349
2020409168,0.2745467495,0.3276456483,1.162775961,1.197190747
2246282818,0.2739699638,0.3267484606,1.162407615,1.19660088
2497408237,0.2733992802,0.3257011151,1.162043281,1.195912657
2776608471,0.2722974229,0.3241173643,1.161340159,1.194872709
3087022174,0.2717632791,0.3230534233,1.160999462,1.194174594
3432138884,0.2712358338,0.3222040793,1.160663135,1.193617582
3815838260,0.2707209506,0.3214610749,1.160334913,1.193130522
4242433688,0.2697182844,0.3195837446,1.15969601,1.191900765
4716720777,0.2692316048,0.3188410414,1.159386023,1.191414603
5244031261,0.2687561303,0.3180546888,1.159083253,1.190900085
5830292945,0.2682834473,0.317029632,1.158782339,1.190229713
6482096336,0.2673706147,0.3155607322,1.158201443,1.189269733
7206768735,0.266927698,0.3145954496,1.15791969,1.188639307
8012456604,0.2664883475,0.3137587418,1.157640274,1.188093124
8908217149,0.2660596199,0.3130694608,1.157367679,1.187643365
9904120134,0.2652225333,0.3113135211,1.156835624,1.186498378
1.101136108e+10,0.2648153825,0.3106151888,1.156576926,1.186043327
1.224238713e+10,0.264415176,0.3099278319,1.156322697,1.185595598
1.361103696e+10,0.2640225309,0.3089342293,1.156073325,1.184948686
1.513269636e+10,0.2632518513,0.3075605485,1.155584018,1.184054895
1.682447118e+10,0.2628788038,0.3066938015,1.155347243,1.183491289
1.870537965e+10,0.2625065944,0.305866686,1.155111048,1.182953704
2.079656615e+10,0.2621435877,0.305222507,1.15488074,1.182535188
2.312153892e+10,0.261432615,0.3035825502,1.154429799,1.181470395
2.570643433e+10,0.2610859014,0.3029231481,1.154209957,1.181042528
2.858031069e+10,0.2607444831,0.3022971787,1.153993513,1.180636497
3.177547491e+10,0.2604094041,0.3013941801,1.153781127,1.18005102
3.53278457e+10,0.2597478299,0.3000728962,1.153361912,1.179194862
3.92773573e+10,0.2594276642,0.2993033931,1.153159089,1.178696531
4.366840847e+10,0.2591060116,0.2984835662,1.15295536,1.178165841
4.855036157e+10,0.2587925158,0.2978774787,1.152756832,1.177773662
5.397809747e+10,0.2581791326,0.2963319195,1.152368493,1.176774174
6.00126325e+10,0.2578750426,0.2957222298,1.15217602,1.176380131
6.672180436e+10,0.2575777012,0.2951489233,1.151987848,1.176009723
7.418103475e+10,0.2572858312,0.2943362156,1.15180317,1.175484839
8.247417722e+10,0.2567056952,0.2930563279,1.15143618,1.174658705
9.169445979e+10,0.2564250986,0.2923811377,1.151258719,1.174223121
1.01945533e+11,0.2561410097,0.2915672761,1.151079077,1.173698291
