# redshift_scan -- R(b,E) = (tau_full - tau_frozen)/tau_frozen
# mesma geometria e mesma densidade nos dois; so o argumento
# de sigma muda (E_loc contra E_inf).
# metrica = Schwarzschild  r_s_cm = 1000000  b_crit_cm = 2598076.21135
# perfil = PowerLawHalo  rho0 = 3  r0_cm = 100000000  p = 2  r_in_cm = 1200000  r_out_cm = 10000000000
# nota: r_in = 1.2 r_s fica ABAIXO da esfera de fotons
#       (1.5 r_s), sem o que os raios quase-criticos enrolariam
#       no vazio e o teto 3^(alpha/2) seria inatingivel.
# dipole.path = dipole/data/sigma_nuN_CC_GBW.dat
# dipole.E_min_GeV = 1000   E_max_GeV = 1e+14   n_pontos = 300
# dipole.convention_y = (E_in - E_out)/E_in
# dipole.target = isoscalar_nucleon
# dipole.projectile = nu
# dipole.current = CC
# dipole.units_sigma = cm^2
# dipole.units_E = GeV
# dipole.M_Z_GeV = 91.1876
# dipole.dipole_model = GBW
# dipole.generated_by = sigma_nuN (PHASIS/dipole) commit 89bbd23-sujo
# dipole.M_W_GeV = 80.379
# dipole.xF3_from = NNPDF31_nlo_as_0118
# colinear.path = data/sigma_nuN_CC_collinear.dat
# colinear.E_min_GeV = 1000   E_max_GeV = 1e+14   n_pontos = 300
# colinear.convention_y = (E_in - E_out)/E_in
# colinear.target = isoscalar_nucleon
# colinear.projectile = nu
# colinear.current = CC
# colinear.units_sigma = cm^2
# colinear.units_E = GeV
# colinear.M_Z_GeV = 91.1876
# colinear.dipole_model = nenhum; colinear NLO, yadism 0.13.11, NNPDF31_nlo_as_0118
# colinear.generated_by = tools/make_collinear_table.py (PHASIS) commit 89bbd23
# colinear.M_W_GeV = 80.379
# colinear.pdf_set = NNPDF31_nlo_as_0118
# colinear.PTO = 1 (0=LO, 1=NLO)
# colinear.esquema = ZM-VFNS, TMC desligada, CKM completa
# colinear.formula = mesma de dipole/src/sigma_nuN_core.cpp, sem o fator (1-x)^7
# colinear.Q2min_GeV2 = 1.0
# colinear.nos_por_decada_Q = 16.0   nos_por_decada_x = 16.0
# colinear.tabela_SF = 121 x 71 nos em (x, Q^2); x em [1e-15, 1], Q^2 em [1, 2e+14]
b_over_bcrit_minus_1,b_cm,r_turn_over_rs,E_inf_GeV,tau_dipole_full,tau_dipole_frozen,R_dipole,tau_colinear_full,tau_colinear_frozen,R_colinear,ok
3.98107170553e-09,2598076.2217,1.50007728149,22156.7177531,25.1828382682,17.2763507651,0.457648007421,27.0571797377,19.6731439327,0.375335829917,0
3.98107170553e-09,2598076.2217,1.50007728149,490429.711879,157.776941762,124.491022703,0.267376059222,139.460530547,110.730161932,0.25946289714,0
3.98107170553e-09,2598076.2217,1.50007728149,10855457.2466,536.449183706,452.995624765,0.184225971244,524.070698369,431.248289259,0.215241222797,0
3.98107170553e-09,2598076.2217,1.50007728149,240281021.273,1403.53421583,1217.70336925,0.152607647539,1642.65364443,1384.84223887,0.186166624847,0
3.98107170553e-09,2598076.2217,1.50007728149,5318520249.52,3298.94322048,2895.8085026,0.139213182613,4551.26296841,3902.35502737,0.166286239077,0
3.98107170553e-09,2598076.2217,1.50007728149,117723228804,7370.53027114,6509.25257132,0.132315913446,11499.3244493,9989.82949435,0.151103175063,0
3.98107170553e-09,2598076.2217,1.50007728149,2.605754599e+12,15978.7888401,14169.4778658,0.127690730134,27027.8666294,23722.161392,0.139350929402,0
3.98107170553e-09,2598076.2217,1.50007728149,5.7677291892e+13,33839.2686591,30113.6778942,0.123717560438,60200.7659147,53212.1319583,0.131335349651,0
6.3095734448e-08,2598076.37528,1.50030772614,1001,1.32754705387,0.802586129041,0.65408671523,2.04618357876,1.30228652131,0.571223801575,1
6.3095734448e-08,2598076.37528,1.50030772614,22156.7177531,21.6466660156,14.954297494,0.447521424816,23.2814422542,17.0289461595,0.367168704165,1
6.3095734448e-08,2598076.37528,1.50030772614,490429.711879,135.956989942,107.758624154,0.261680826105,120.181749622,95.8473120628,0.253887532529,1
6.3095734448e-08,2598076.37528,1.50030772614,10855457.2466,462.825127295,392.110083219,0.180344875334,451.919771567,373.285730249,0.210653756484,1
6.3095734448e-08,2598076.37528,1.50030772614,240281021.273,1211.50785961,1054.03616139,0.149398762575,1417.13831046,1198.71048603,0.182218998648,1
6.3095734448e-08,2598076.37528,1.50030772614,5318520249.52,2848.21246461,2506.59311231,0.136288315255,3927.68113991,3377.85327469,0.162774348234,1
6.3095734448e-08,2598076.37528,1.50030772614,117723228804,6364.22963073,5634.36692962,0.12953765884,9926.23185693,8647.13180489,0.147921886806,1
6.3095734448e-08,2598076.37528,1.50030772614,2.605754599e+12,13798.282067,12265.0084049,0.125012035165,23335.0504507,20533.7494869,0.136424230049,1
6.3095734448e-08,2598076.37528,1.50030772614,5.7677291892e+13,29223.4653981,26066.2048365,0.121124673936,51982.4468003,46060.0772939,0.128579235084,1
1e-06,2598078.80943,1.50122607887,1001,1.10695384796,0.677962945512,0.632764526861,1.70830259422,1.10007134928,0.552901632545,0
1e-06,2598078.80943,1.50122607887,22156.7177531,18.1104905693,12.6322387221,0.43367228626,19.5057003706,14.3847421224,0.355999308474,0
1e-06,2598078.80943,1.50122607887,490429.711879,114.137005791,91.0261859657,0.253891993611,100.902941668,80.9644269372,0.246262654909,0
1e-06,2598078.80943,1.50122607887,10855457.2466,389.200945901,331.224397439,0.175037071272,379.768734385,315.323033927,0.204379932716,0
1e-06,2598078.80943,1.50122607887,240281021.273,1019.48115769,890.368565806,0.145010276463,1191.62259855,1012.57829225,0.176820210025,0
1e-06,2598078.80943,1.50122607887,5318520249.52,2397.48087237,2117.37679999,0.132288250435,3304.0982252,2853.3502795,0.157971472671,0
1e-06,2598078.80943,1.50122607887,117723228804,5357.92787446,4759.47921536,0.125738265055,8353.13644612,7304.43093464,0.143571144811,0
1e-06,2598078.80943,1.50122607887,2.605754599e+12,11617.7711841,10360.5344325,0.121348638897,19642.2274615,17345.3300285,0.132421662151,0
1e-06,2598078.80943,1.50122607887,5.7677291892e+13,24607.653381,22018.7221905,0.117578630048,43764.112309,38908.0056866,0.124809959716,0
1.58489319246e-05,2598117.38809,1.50489697127,1001,0.886361231416,0.553336068149,0.601849730095,1.3704211352,0.897850183591,0.526336086178,1
1.58489319246e-05,2598117.38809,1.50489697127,22156.7177531,14.574275445,10.3101111243,0.413590529652,15.7299038396,11.740459711,0.339803059399,1
1.58489319246e-05,2598117.38809,1.50489697127,490429.711879,92.3166546641,74.2932518277,0.242598114808,81.6238088563,66.0811006824,0.235206556994,1
1.58489319246e-05,2598117.38809,1.50489697127,10855457.2466,315.575234469,270.336907005,0.167340552812,307.616318058,257.35861959,0.195282748052,1
1.58489319246e-05,2598117.38809,1.50489697127,240281021.273,827.450223955,726.696119113,0.138646818377,966.10229424,826.4405815,0.168991837849,1
1.58489319246e-05,2598117.38809,1.50489697127,5318520249.52,1946.739054,1728.14895128,0.126487998942,2680.5019865,2328.83173802,0.151007152101,1
1.58489319246e-05,2598117.38809,1.50489697127,117723228804,4351.60298911,3884.56556939,0.120228996364,6780.00633981,5961.69026669,0.13726242668,1
1.58489319246e-05,2598117.38809,1.50489697127,2.605754599e+12,9437.20966053,8456.00401132,0.11603656383,15949.3207631,14156.8160653,0.126617785347,1
1.58489319246e-05,2598117.38809,1.50489697127,5.7677291892e+13,19991.733296,17971.1195769,0.112436718836,35545.5884713,31755.7220917,0.119344361585,1
0.000251188643151,2598728.81859,1.51974847819,1001,0.665779897094,0.428665920047,0.553143989196,1.03254042383,0.695558806244,0.484476099735,1
0.000251188643151,2598728.81859,1.51974847819,22156.7177531,11.0376725797,7.98717727851,0.381924075901,11.9535386274,9.0952591987,0.314260359847,1
0.000251188643151,2598728.81859,1.51974847819,490429.711879,70.4922326308,57.5545079766,0.22479081325,62.3410781083,51.1926069025,0.217775024174,1
0.000251188643151,2598728.81859,1.51974847819,10855457.2466,241.932108341,209.428276295,0.15520269097,235.44836472,199.374079874,0.180937686929,1
0.000251188643151,2598728.81859,1.51974847819,240281021.273,635.371106346,562.96684497,0.128611945841,740.530118897,640.238243312,0.156647742669,1
0.000251188643151,2598728.81859,1.51974847819,5318520249.52,1495.88046569,1338.78596177,0.117341015221,2056.75435354,1804.13108249,0.140024898134,1
0.000251188643151,2598728.81859,1.51974847819,117723228804,3345.01359916,3009.3481514,0.111540915465,5206.48069514,4618.48339609,0.1273139359,1
0.000251188643151,2598728.81859,1.51974847819,2.605754599e+12,7256.06854687,6550.81233284,0.107659352489,12255.4581798,10967.1950428,0.11746514328,1
0.000251188643151,2598728.81859,1.51974847819,5.7677291892e+13,15374.5752136,13922.1116265,0.10432782225,27324.89878,24600.9552074,0.11072511411,1
0.00398107170553,2608419.33905,1.5827517773,1001,0.445402959098,0.303553102462,0.467298326012,0.694792277411,0.49254914773,0.410604973357,1
0.00398107170553,2608419.33905,1.5827517773,22156.7177531,7.49951056673,5.65599533208,0.325940020529,8.17353816525,6.44066630527,0.269051644326,1
0.00398107170553,2608419.33905,1.5827517773,490429.711879,48.6309677277,40.7563294396,0.193212646877,43.025942337,36.2512481671,0.186881680287,1
0.00398107170553,2608419.33905,1.5827517773,10855457.2466,168.125193057,148.303375751,0.133657222605,163.137102256,141.183652971,0.155495688225,1
0.00398107170553,2608419.33905,1.5827517773,240281021.273,442.828319293,398.656213107,0.110802502842,514.467862661,453.37475172,0.134751903824,1
0.00398107170553,2608419.33905,1.5827517773,5318520249.52,1043.89095812,948.040451136,0.101103815629,1431.55925572,1277.56735893,0.120535246701,1
0.00398107170553,2608419.33905,1.5827517773,117723228804,2335.85605481,2131.02307654,0.0961195495863,3629.14918615,3270.50716651,0.109659450776,1
0.00398107170553,2608419.33905,1.5827517773,2.605754599e+12,5069.28507772,4638.85584154,0.0927878017513,8552.33681388,7766.24855126,0.101218530083,1
0.00398107170553,2608419.33905,1.5827517773,5.7677291892e+13,10745.3491548,9858.72675994,0.0899327485671,19083.167086,17420.7837094,0.0954252922423,1
0.063095734448,2762003.73806,1.9021155745,1001,0.22875468962,0.175374555453,0.304377872997,0.361259079591,0.28456499743,0.26951340767,0
0.063095734448,2762003.73806,1.9021155745,22156.7177531,3.97855092482,3.26769075645,0.217542056868,4.39444965042,3.72102601142,0.180977944507,0
0.063095734448,2762003.73806,1.9021155745,490429.711879,26.6351275,23.5465330428,0.131169818144,23.5912029165,20.9437705639,0.126406672789,0
0.063095734448,2762003.73806,1.9021155745,10855457.2466,93.4945858531,85.680687773,0.0911978916513,90.1776233392,81.5673441523,0.10556037194,0
0.063095734448,2762003.73806,1.9021155745,240281021.273,247.746395651,230.319359563,0.0756646602396,285.947268514,261.932409492,0.0916834196626,0
0.063095734448,2762003.73806,1.9021155745,5318520249.52,585.549032695,547.720222001,0.0690659376361,798.740637526,738.10086544,0.0821564841954,0
0.063095734448,2762003.73806,1.9021155745,117723228804,1312.03988116,1231.17577016,0.0656803950853,2030.92293026,1889.50050512,0.0748464606143,0
0.063095734448,2762003.73806,1.9021155745,2.605754599e+12,2850.03468602,2680.04930414,0.0634262144444,4797.13748039,4486.86696386,0.0691508170448,0
0.063095734448,2762003.73806,1.9021155745,5.7677291892e+13,6046.07040306,5695.77384923,0.0615011345428,10721.0526519,10064.671301,0.0652163723208,0
1,5196152.42271,4.59626665871,1001,0.0565445913619,0.0520332426859,0.0867012787039,0.0909931427128,0.0844298052984,0.0777372089294,1
1,5196152.42271,4.59626665871,22156.7177531,1.032074448,0.969516619522,0.0645247613269,1.16409975469,1.10402018692,0.0544189032725,1
1,5196152.42271,4.59626665871,490429.711879,7.26602974919,6.98620427042,0.0400540075744,6.45246040546,6.21397040006,0.03837964941,1
1,5196152.42271,4.59626665871,10855457.2466,26.1359162876,25.4212705422,0.0281121175369,24.9814592069,24.2008505884,0.0322554207635,1
1,5196152.42271,4.59626665871,240281021.273,69.9312297014,68.335244531,0.023355227327,79.9000047174,77.714766519,0.0281186999115,1
1,5196152.42271,4.59626665871,5318520249.52,165.973857706,162.507378346,0.0213312121287,224.527397419,218.992894145,0.0252725244602,1
1,5196152.42271,4.59626665871,117723228804,372.701092064,365.287127727,0.0202962649776,573.551622529,560.610620419,0.0230837619529,1
1,5196152.42271,4.59626665871,2.605754599e+12,810.758310843,795.164700444,0.0196105415527,1359.6830723,1331.24350352,0.0213631606102,1
1,5196152.42271,4.59626665871,5.7677291892e+13,1722.08312516,1689.92350239,0.0190302239859,3046.37058357,2986.16571262,0.0201612625497,1
