# profile_file data/benchmark_02_collapsar_disk_funnel.dat
# sigma_table data/sigma_nuN_CC_GBW.dat
# Enu_GeV 1e+12
# sigma_cm2_interpolated 1.64167e-30
# r_cm rho_gcm3 tau survival
1.57906e+06 2.26311e+10 2.35297e+10 0
1.58514e+06 2.24149e+10 2.33943e+10 0
1.59123e+06 2.22007e+10 2.326e+10 0
1.59735e+06 2.19887e+10 2.31263e+10 0
1.6035e+06 2.17786e+10 2.29933e+10 0
1.60967e+06 2.15705e+10 2.28611e+10 0
1.61586e+06 2.13645e+10 2.27297e+10 0
1.62207e+06 2.11603e+10 2.25991e+10 0
1.62831e+06 2.09582e+10 2.24692e+10 0
1.63457e+06 2.0758e+10 2.23401e+10 0
1.64086e+06 2.05597e+10 2.22117e+10 0
1.64717e+06 2.03632e+10 2.2084e+10 0
1.65351e+06 2.01687e+10 2.1957e+10 0
1.65987e+06 1.9976e+10 2.18308e+10 0
1.66625e+06 1.97852e+10 2.17054e+10 0
1.67266e+06 1.95962e+10 2.15806e+10 0
1.67909e+06 1.94089e+10 2.14566e+10 0
1.68555e+06 1.92235e+10 2.13333e+10 0
1.69204e+06 1.90399e+10 2.12105e+10 0
1.69854e+06 1.8858e+10 2.10887e+10 0
1.70508e+06 1.86778e+10 2.09674e+10 0
1.71163e+06 1.84994e+10 2.0847e+10 0
1.71822e+06 1.83226e+10 2.07271e+10 0
1.72483e+06 1.81476e+10 2.06079e+10 0
1.73146e+06 1.79742e+10 2.04895e+10 0
1.73812e+06 1.78025e+10 2.03717e+10 0
1.74481e+06 1.76324e+10 2.02546e+10 0
1.75152e+06 1.7464e+10 2.01382e+10 0
1.75825e+06 1.72971e+10 2.00225e+10 0
1.76502e+06 1.71319e+10 1.99073e+10 0
1.77181e+06 1.69682e+10 1.97928e+10 0
1.77862e+06 1.68061e+10 1.96791e+10 0
1.78546e+06 1.66455e+10 1.9566e+10 0
1.79233e+06 1.64865e+10 1.94535e+10 0
1.79922e+06 1.6329e+10 1.93418e+10 0
1.80614e+06 1.6173e+10 1.92306e+10 0
1.81309e+06 1.60185e+10 1.912e+10 0
1.82006e+06 1.58655e+10 1.90101e+10 0
1.82706e+06 1.57139e+10 1.89009e+10 0
1.83409e+06 1.55638e+10 1.87922e+10 0
1.84115e+06 1.54151e+10 1.86841e+10 0
1.84823e+06 1.52678e+10 1.85767e+10 0
1.85534e+06 1.51219e+10 1.84699e+10 0
1.86247e+06 1.49775e+10 1.83638e+10 0
1.86964e+06 1.48344e+10 1.82581e+10 0
1.87683e+06 1.46926e+10 1.81532e+10 0
1.88405e+06 1.45523e+10 1.80488e+10 0
1.89129e+06 1.44132e+10 1.79451e+10 0
1.89857e+06 1.42755e+10 1.78419e+10 0
1.90587e+06 1.41392e+10 1.77394e+10 0
1.9132e+06 1.40041e+10 1.76374e+10 0
1.92056e+06 1.38703e+10 1.7536e+10 0
1.92795e+06 1.37378e+10 1.74351e+10 0
1.93536e+06 1.36065e+10 1.7335e+10 0
1.94281e+06 1.34765e+10 1.72352e+10 0
1.95028e+06 1.33478e+10 1.71362e+10 0
1.95778e+06 1.32202e+10 1.70377e+10 0
1.96531e+06 1.30939e+10 1.69397e+10 0
1.97287e+06 1.29688e+10 1.68423e+10 0
1.98046e+06 1.28449e+10 1.67455e+10 0
1.98808e+06 1.27222e+10 1.66492e+10 0
1.99572e+06 1.26007e+10 1.65536e+10 0
2.0034e+06 1.24803e+10 1.64583e+10 0
2.0111e+06 1.2361e+10 1.63638e+10 0
2.01884e+06 1.2243e+10 1.62697e+10 0
2.0266e+06 1.2126e+10 1.61762e+10 0
2.0344e+06 1.20101e+10 1.60831e+10 0
2.04222e+06 1.18954e+10 1.59907e+10 0
2.05008e+06 1.17817e+10 1.58987e+10 0
2.05796e+06 1.16692e+10 1.58074e+10 0
2.06588e+06 1.15577e+10 1.57164e+10 0
2.07383e+06 1.14473e+10 1.5626e+10 0
2.0818e+06 1.13379e+10 1.55363e+10 0
2.08981e+06 1.12296e+10 1.54469e+10 0
2.09785e+06 1.11223e+10 1.53581e+10 0
2.10592e+06 1.1016e+10 1.52698e+10 0
2.11402e+06 1.09108e+10 1.5182e+10 0
2.12215e+06 1.08065e+10 1.50947e+10 0
2.13031e+06 1.07033e+10 1.50079e+10 0
2.1385e+06 1.0601e+10 1.49217e+10 0
2.14673e+06 1.04997e+10 1.48358e+10 0
2.15499e+06 1.03994e+10 1.47505e+10 0
2.16327e+06 1.03001e+10 1.46658e+10 0
2.1716e+06 1.02017e+10 1.45814e+10 0
2.17995e+06 1.01042e+10 1.44975e+10 0
2.18833e+06 1.00077e+10 1.44142e+10 0
2.19675e+06 9.91204e+09 1.43313e+10 0
2.2052e+06 9.81734e+09 1.42489e+10 0
2.21368e+06 9.72354e+09 1.4167e+10 0
2.2222e+06 9.63064e+09 1.40855e+10 0
2.23074e+06 9.53863e+09 1.40046e+10 0
2.23932e+06 9.4475e+09 1.3924e+10 0
2.24794e+06 9.35723e+09 1.38439e+10 0
2.25658e+06 9.26783e+09 1.37644e+10 0
2.26526e+06 9.17928e+09 1.36852e+10 0
2.27397e+06 9.09158e+09 1.36066e+10 0
2.28272e+06 9.00472e+09 1.35283e+10 0
2.2915e+06 8.91868e+09 1.34505e+10 0
2.30031e+06 8.83347e+09 1.33732e+10 0
2.30916e+06 8.74908e+09 1.32963e+10 0
2.31804e+06 8.66548e+09 1.32198e+10 0
2.32696e+06 8.58269e+09 1.31438e+10 0
2.33591e+06 8.50069e+09 1.30682e+10 0
2.34489e+06 8.41947e+09 1.29931e+10 0
2.35391e+06 8.33903e+09 1.29184e+10 0
2.36297e+06 8.25935e+09 1.2844e+10 0
2.37206e+06 8.18044e+09 1.27702e+10 0
2.38118e+06 8.10228e+09 1.26967e+10 0
2.39034e+06 8.02487e+09 1.26237e+10 0
2.39953e+06 7.94819e+09 1.25512e+10 0
2.40876e+06 7.87225e+09 1.2479e+10 0
2.41803e+06 7.79704e+09 1.24072e+10 0
2.42733e+06 7.72254e+09 1.23358e+10 0
2.43666e+06 7.64876e+09 1.22649e+10 0
2.44604e+06 7.57568e+09 1.21944e+10 0
2.45544e+06 7.5033e+09 1.21243e+10 0
2.46489e+06 7.43161e+09 1.20545e+10 0
2.47437e+06 7.3606e+09 1.19852e+10 0
2.48389e+06 7.29027e+09 1.19163e+10 0
2.49344e+06 7.22062e+09 1.18478e+10 0
2.50303e+06 7.15163e+09 1.17796e+10 0
2.51266e+06 7.0833e+09 1.17119e+10 0
2.52232e+06 7.01562e+09 1.16445e+10 0
2.53202e+06 6.94859e+09 1.15776e+10 0
2.54176e+06 6.8822e+09 1.1511e+10 0
2.55154e+06 6.81644e+09 1.14448e+10 0
2.56135e+06 6.75131e+09 1.1379e+10 0
2.57121e+06 6.6868e+09 1.13135e+10 0
2.58109e+06 6.62291e+09 1.12485e+10 0
2.59102e+06 6.55963e+09 1.11838e+10 0
2.60099e+06 6.49696e+09 1.11194e+10 0
2.61099e+06 6.43488e+09 1.10555e+10 0
2.62104e+06 6.3734e+09 1.09919e+10 0
2.63112e+06 6.3125e+09 1.09287e+10 0
2.64124e+06 6.25219e+09 1.08658e+10 0
2.6514e+06 6.19245e+09 1.08033e+10 0
2.66159e+06 6.13328e+09 1.07412e+10 0
2.67183e+06 6.07468e+09 1.06794e+10 0
2.68211e+06 6.01664e+09 1.0618e+10 0
2.69242e+06 5.95915e+09 1.05569e+10 0
2.70278e+06 5.90221e+09 1.04962e+10 0
2.71318e+06 5.84582e+09 1.04358e+10 0
2.72361e+06 5.78996e+09 1.03758e+10 0
2.73409e+06 5.73464e+09 1.03161e+10 0
2.7446e+06 5.67985e+09 1.02568e+10 0
2.75516e+06 5.62558e+09 1.01978e+10 0
2.76576e+06 5.57182e+09 1.01391e+10 0
2.77639e+06 5.51859e+09 1.00808e+10 0
2.78707e+06 5.46586e+09 1.00229e+10 0
2.79779e+06 5.41363e+09 9.9652e+09 0
2.80855e+06 5.3619e+09 9.90789e+09 0
2.81936e+06 5.31067e+09 9.85086e+09 0
2.8302e+06 5.25993e+09 9.79422e+09 0
2.84109e+06 5.20967e+09 9.73786e+09 0
2.85201e+06 5.15989e+09 9.68188e+09 0
2.86298e+06 5.11059e+09 9.62619e+09 0
2.874e+06 5.06176e+09 9.57078e+09 0
2.88505e+06 5.01339e+09 9.51574e+09 0
2.89615e+06 4.96549e+09 9.46099e+09 0
2.90729e+06 4.91804e+09 9.40657e+09 0
2.91847e+06 4.87105e+09 9.35247e+09 0
2.92969e+06 4.82451e+09 9.29869e+09 0
2.94096e+06 4.77841e+09 9.24519e+09 0
2.95227e+06 4.73275e+09 9.19202e+09 0
2.96363e+06 4.68753e+09 9.13912e+09 0
2.97503e+06 4.64274e+09 9.08654e+09 0
2.98647e+06 4.59837e+09 9.03428e+09 0
2.99796e+06 4.55444e+09 8.9823e+09 0
3.00949e+06 4.51092e+09 8.93063e+09 0
3.02106e+06 4.46781e+09 8.87928e+09 0
3.03268e+06 4.42512e+09 8.8282e+09 0
3.04435e+06 4.38284e+09 8.77739e+09 0
3.05606e+06 4.34096e+09 8.72689e+09 0
3.06781e+06 4.29948e+09 8.67671e+09 0
3.07961e+06 4.2584e+09 8.62679e+09 0
3.09146e+06 4.21771e+09 8.57714e+09 0
3.10335e+06 4.17741e+09 8.5278e+09 0
3.11529e+06 4.13749e+09 8.47872e+09 0
3.12727e+06 4.09796e+09 8.42995e+09 0
3.1393e+06 4.0588e+09 8.38145e+09 0
3.15137e+06 4.02002e+09 8.33324e+09 0
3.16349e+06 3.9816e+09 8.2853e+09 0
3.17566e+06 3.94356e+09 8.23763e+09 0
3.18787e+06 3.90587e+09 8.19025e+09 0
3.20014e+06 3.86855e+09 8.1431e+09 0
3.21244e+06 3.83159e+09 8.09628e+09 0
3.2248e+06 3.79497e+09 8.04968e+09 0
3.2372e+06 3.75871e+09 8.00338e+09 0
3.24966e+06 3.72279e+09 7.9573e+09 0
3.26215e+06 3.68722e+09 7.91155e+09 0
3.2747e+06 3.65199e+09 7.86602e+09 0
3.2873e+06 3.61709e+09 7.82075e+09 0
3.29994e+06 3.58253e+09 7.77576e+09 0
3.31263e+06 3.54829e+09 7.73103e+09 0
3.32537e+06 3.51439e+09 7.68656e+09 0
3.33817e+06 3.48081e+09 7.6423e+09 0
3.351e+06 3.44754e+09 7.59835e+09 0
3.36389e+06 3.4146e+09 7.55463e+09 0
3.37683e+06 3.38197e+09 7.51116e+09 0
3.38982e+06 3.34966e+09 7.46793e+09 0
3.40286e+06 3.31765e+09 7.42495e+09 0
3.41595e+06 3.28594e+09 7.38223e+09 0
3.42909e+06 3.25454e+09 7.33974e+09 0
