# x Q2 FT_GBW FL_GBW F2_GBW xF3 FT_IIM FL_IIM F2_IIM
0.000446684 6460.78 0.627061 0.000167728 0.627229 0.624667 0.151908 4.06967e-05 0.151949
0.000530884 6460.78 0.616839 0.000164997 0.617004 0.61221 0.14786 3.96127e-05 0.147899
0.000630957 6460.78 0.6067 0.000162288 0.606862 0.60139 0.143875 3.85457e-05 0.143913
0.000749894 6460.78 0.596642 0.0001596 0.596801 0.592284 0.139952 3.74954e-05 0.13999
0.000891251 6460.78 0.586665 0.000156934 0.586821 0.584816 0.136091 3.64615e-05 0.136127
0.00105925 6460.78 0.576768 0.000154289 0.576922 0.57903 0.13229 3.54437e-05 0.132325
0.00125893 6460.78 0.566951 0.000151666 0.567103 0.574901 0.128548 3.44417e-05 0.128582
0.00149624 6460.78 0.557214 0.000149065 0.557363 0.572444 0.124863 3.34551e-05 0.124896
0.00177828 6460.78 0.547556 0.000146484 0.547702 0.571671 0.121235 3.24835e-05 0.121267
0.00211349 6460.78 0.537977 0.000143924 0.538121 0.572568 0.117661 3.15268e-05 0.117693
0.00251189 6460.78 0.528476 0.000141386 0.528618 0.575144 0.114142 3.05844e-05 0.114173
0.00298538 6460.78 0.519055 0.000138868 0.519193 0.579384 0.110675 2.96561e-05 0.110705
0.00354813 6460.78 0.509711 0.000136372 0.509848 0.585279 0.10726 2.87415e-05 0.107289
0.00421697 6460.78 0.500446 0.000133896 0.50058 0.592807 0.103894 2.78402e-05 0.103922
0.00501187 6460.78 0.49126 0.000131441 0.491391 0.601939 0.100576 2.69518e-05 0.100603
0.00595662 6460.78 0.482152 0.000129007 0.482281 0.612639 0.0973056 2.60759e-05 0.0973317
0.00707946 6460.78 0.473122 0.000126594 0.473249 0.624814 0.0940801 2.52122e-05 0.0941053
0.00841395 6460.78 0.464172 0.000124202 0.464296 0.638421 0.0908983 2.43601e-05 0.0909227
0.01 6460.78 0.4553 0.000121832 0.455422 0.653334 0 0 0
