# profile_file data/collapsar_profile.dat
# sigma_table data/sigma_nuN_CC_IIM.dat
# Enu_GeV 1e+12
# sigma_cm2_interpolated 4.00898e-31
# r_cm rho_gcm3 tau survival
1.57906e+06 2.54695e+11 4.85238e+10 0
1.58514e+06 2.51778e+11 4.81521e+10 0
1.59123e+06 2.48895e+11 4.7784e+10 0
1.59735e+06 2.46044e+11 4.74184e+10 0
1.6035e+06 2.43226e+11 4.70552e+10 0
1.60967e+06 2.40441e+11 4.66949e+10 0
1.61586e+06 2.37687e+11 4.63377e+10 0
1.62207e+06 2.34965e+11 4.59833e+10 0
1.62831e+06 2.32274e+11 4.56314e+10 0
1.63457e+06 2.29614e+11 4.52824e+10 0
1.64086e+06 2.26984e+11 4.49357e+10 0
1.64717e+06 2.24384e+11 4.45919e+10 0
1.65351e+06 2.21814e+11 4.42504e+10 0
1.65987e+06 2.19274e+11 4.39117e+10 0
1.66625e+06 2.16763e+11 4.35759e+10 0
1.67266e+06 2.1428e+11 4.32424e+10 0
1.67909e+06 2.11826e+11 4.29117e+10 0
1.68555e+06 2.094e+11 4.25832e+10 0
1.69204e+06 2.07002e+11 4.2257e+10 0
1.69854e+06 2.04631e+11 4.1934e+10 0
1.70508e+06 2.02288e+11 4.16127e+10 0
1.71163e+06 1.99971e+11 4.12947e+10 0
1.71822e+06 1.97681e+11 4.09784e+10 0
1.72483e+06 1.95416e+11 4.06647e+10 0
1.73146e+06 1.93178e+11 4.03537e+10 0
1.73812e+06 1.90966e+11 4.00449e+10 0
1.74481e+06 1.88779e+11 3.97382e+10 0
1.75152e+06 1.86617e+11 3.94341e+10 0
1.75825e+06 1.84479e+11 3.91326e+10 0
1.76502e+06 1.82367e+11 3.88329e+10 0
1.77181e+06 1.80278e+11 3.85356e+10 0
1.77862e+06 1.78213e+11 3.82409e+10 0
1.78546e+06 1.76172e+11 3.79483e+10 0
1.79233e+06 1.74155e+11 3.76578e+10 0
1.79922e+06 1.7216e+11 3.73697e+10 0
1.80614e+06 1.70188e+11 3.70838e+10 0
1.81309e+06 1.68239e+11 3.67998e+10 0
1.82006e+06 1.66312e+11 3.65184e+10 0
1.82706e+06 1.64407e+11 3.62389e+10 0
1.83409e+06 1.62524e+11 3.59615e+10 0
1.84115e+06 1.60663e+11 3.5686e+10 0
1.84823e+06 1.58823e+11 3.5413e+10 0
1.85534e+06 1.57004e+11 3.51419e+10 0
1.86247e+06 1.55206e+11 3.48732e+10 0
1.86964e+06 1.53428e+11 3.46061e+10 0
1.87683e+06 1.51671e+11 3.43413e+10 0
1.88405e+06 1.49934e+11 3.40784e+10 0
1.89129e+06 1.48217e+11 3.38178e+10 0
1.89857e+06 1.46519e+11 3.35588e+10 0
1.90587e+06 1.44841e+11 3.33021e+10 0
1.9132e+06 1.43182e+11 3.30472e+10 0
1.92056e+06 1.41542e+11 3.27943e+10 0
1.92795e+06 1.39921e+11 3.25432e+10 0
