# Enu_GeV sigma_cm2 r_nu_cm r_nu_km tau_center
100000 1.54294e-32 9.71055e+09 97105.5 4.65838e+09
1e+06 7.30925e-32 1.24359e+10 124359 2.20678e+10
1e+07 1.94347e-31 1.42731e+10 142731 5.86764e+10
1e+08 3.63775e-31 1.54949e+10 154949 1.09829e+11
1e+09 6.06766e-31 1.65154e+10 165154 1.83192e+11
1e+10 9.03981e-31 1.73244e+10 173244 2.72926e+11
1e+11 1.24486e-30 1.79818e+10 179818 3.75842e+11
1e+12 1.6409e-30 1.85553e+10 185553 4.95413e+11
