# convention_y = (E_in - E_out)/E_in
# target       = isoscalar_nucleon
# projectile   = nu
# current      = NC
# units_sigma  = cm^2
# units_E      = GeV
# M_Z_GeV      = 91.1876
# dipole_model = IIM
# generated_by = sigma_nuN (PHASIS/dipole) commit 1474a9b-sujo
# M_W_GeV      = 80.379
# xF3_from     = NNPDF31_nlo_as_0118
# model IIM
# gerado_por sigma_nuN (PHASIS/dipole)
# formalismo Kutak-Kwiecinski EPJ C29 (2003) 521, eqs (2),(8),(9),(12),(13)
# beam nu
# use_F3 1  pdf_set NNPDF31_nlo_as_0118
# Q2min_GeV2 1
# largeXFactor (1-x)^7   [regra de contagem de constituintes, n_s=4]
# bCGC [Rezaeian & Schmidt, PRD 88 (2013) 074016, Tabela II, m_c=1.4]
# bCGC B_CGC 5.5  gamma_s 0.6492  N0 0.3658  x0 0.00069  lambda 0.2023  bMax 20  Nb 80
# massas_GeV  u 0.01  d 0.01  s 0.01  c 1.4
# canais uu, dd, ss, cc
# quadratura_rz  Nr 120  Nz 120  rMin 1e-08  rMax 1000  zMin 1e-11   [ln r; z log nas duas pontas]
# tabela_F  Nx 121  NQ 121  xMin 2.664472562e-15  xMax 1  Q2Min 1  Q2Max 1.968400829e+14
# integracao_sigma  nos_por_decada_Q 16  nos_por_decada_x 16
# Enu_GeV sigma_GeV_minus2 sigma_cm2
7292496.917 1.239643952e-06 4.826913226e-34
7937167.617 1.286087541e-06 5.007754806e-34
8638828.443 1.333907922e-06 5.193957326e-34
9402517.43 1.383135502e-06 5.385639187e-34
10233717.99 1.433801103e-06 5.582920395e-34
11138398.26 1.485935578e-06 5.785921096e-34
12123054.01 1.539571561e-06 5.994768349e-34
13194755.22 1.594741545e-06 6.209588682e-34
14361196.86 1.651477577e-06 6.430506876e-34
15630754.18 1.709814036e-06 6.657656796e-34
17012542.8 1.769785236e-06 6.891172055e-34
18516484.18 1.831424543e-06 7.131182572e-34
20153376.86 1.894767931e-06 7.377828423e-34
21934973.99 1.959851871e-06 7.631251616e-34
23874067.72 2.026711894e-06 7.891590504e-34
25984581.05 2.095384824e-06 8.158988472e-34
28281667.8 2.165908651e-06 8.433593446e-34
30781821.43 2.238321947e-06 8.715555612e-34
33502993.42 2.312662258e-06 9.005021172e-34
36464722.23 2.388969646e-06 9.302146119e-34
39688273.55 2.467284675e-06 9.607088396e-34
43196792.97 2.547647134e-06 9.920002935e-34
47015472.24 2.630098227e-06 1.024105018e-33
51171730.07 2.714680723e-06 1.057039665e-33
55695409.06 2.801437004e-06 1.090820739e-33
60618989.93 2.890409614e-06 1.125464805e-33
65977824.8 2.981643029e-06 1.160989181e-33
71810390.93 3.075182264e-06 1.197411395e-33
78158567.08 3.171071225e-06 1.234748542e-33
85067934.16 3.269357161e-06 1.273019022e-33
92588102.54 3.370086601e-06 1.312240951e-33
100773068.2 3.47330648e-06 1.352432604e-33
109681600.5 3.579064958e-06 1.393612734e-33
119377664.2 3.687411216e-06 1.435800492e-33
129930878.4 3.798394792e-06 1.479015166e-33
141417017 3.912065021e-06 1.523275966e-33
153918552.3 4.028474343e-06 1.568603311e-33
167525247.2 4.14767407e-06 1.615017182e-33
182334800.1 4.269715832e-06 1.662537681e-33
198453545.8 4.394654052e-06 1.711186e-33
215997219.5 4.522543217e-06 1.760983355e-33
235091787.5 4.653436901e-06 1.811950607e-33
255874352 4.787391233e-06 1.864109611e-33
278494135 4.9244634e-06 1.917482634e-33
303113550.2 5.064710516e-06 1.972091916e-33
329909368.8 5.208189641e-06 2.027959674e-33
359073989.1 5.35496103e-06 2.085109371e-33
390816817.8 5.505084764e-06 2.1435644e-33
425365773.3 5.658619766e-06 2.203347706e-33
462968922.7 5.81562887e-06 2.264483754e-33
503896262.5 5.97617472e-06 2.326996936e-33
548441657.6 6.140319735e-06 2.390911558e-33
596924951 6.308128258e-06 2.456252673e-33
649694260.4 6.4796662e-06 2.523045945e-33
707128477.9 6.654999213e-06 2.591316939e-33
769639990.2 6.83419282e-06 2.661091166e-33
837677640.1 7.017316486e-06 2.732395676e-33
911729948.5 7.204438951e-06 2.805257234e-33
992328622.9 7.39562849e-06 2.879702426e-33
1080052375 7.590957213e-06 2.955759329e-33
1175531074 7.790496763e-06 3.033455839e-33
1279450273 7.994318843e-06 3.112819877e-33
1392556129 8.202497166e-06 3.193880144e-33
