# Collapsar-like analytic profile with exponential cutoff
# rho(r) = rho0*(r/r0)^(-alpha)*exp[-(r-r0)/Rcut]
# columns:
# r_cm dens_gcm3 temp_MeV ye pres_dummy entr_dummy
1.29331e+06 4.63606e+11 51.436 0.108936 2.3846e+13 0.00664585
1.29829e+06 4.58296e+11 51.2782 0.10907 2.35006e+13 0.00665096
1.30328e+06 4.53048e+11 51.1209 0.109203 2.31602e+13 0.00665606
1.30829e+06 4.47859e+11 50.9641 0.109336 2.28248e+13 0.00666117
1.31333e+06 4.4273e+11 50.8078 0.10947 2.24942e+13 0.00666629
1.31838e+06 4.3766e+11 50.652 0.109603 2.21683e+13 0.00667141
1.32345e+06 4.32648e+11 50.4966 0.109737 2.18472e+13 0.00667653
1.32854e+06 4.27693e+11 50.3417 0.10987 2.15308e+13 0.00668166
1.33365e+06 4.22795e+11 50.1873 0.110003 2.12189e+13 0.00668679
1.33878e+06 4.17953e+11 50.0334 0.110137 2.09116e+13 0.00669192
1.34393e+06 4.13166e+11 49.8799 0.11027 2.06087e+13 0.00669706
1.3491e+06 4.08434e+11 49.7269 0.110403 2.03102e+13 0.0067022
1.35429e+06 4.03757e+11 49.5744 0.110537 2.0016e+13 0.00670735
1.3595e+06 3.99133e+11 49.4223 0.11067 1.97261e+13 0.0067125
1.36472e+06 3.94562e+11 49.2707 0.110804 1.94403e+13 0.00671765
1.36997e+06 3.90043e+11 49.1196 0.110937 1.91588e+13 0.00672281
1.37524e+06 3.85576e+11 48.9689 0.11107 1.88813e+13 0.00672797
1.38053e+06 3.8116e+11 48.8187 0.111204 1.86078e+13 0.00673313
1.38584e+06 3.76795e+11 48.669 0.111337 1.83382e+13 0.0067383
1.39117e+06 3.7248e+11 48.5197 0.11147 1.80726e+13 0.00674348
1.39652e+06 3.68214e+11 48.3709 0.111604 1.78108e+13 0.00674866
1.4019e+06 3.63997e+11 48.2225 0.111737 1.75529e+13 0.00675384
1.40729e+06 3.59828e+11 48.0746 0.111871 1.72986e+13 0.00675902
1.4127e+06 3.55708e+11 47.9271 0.112004 1.7048e+13 0.00676421
1.41813e+06 3.51634e+11 47.7801 0.112137 1.68011e+13 0.00676941
1.42359e+06 3.47607e+11 47.6336 0.112271 1.65578e+13 0.0067746
1.42906e+06 3.43626e+11 47.4875 0.112404 1.63179e+13 0.0067798
1.43456e+06 3.3969e+11 47.3418 0.112538 1.60816e+13 0.00678501
1.44008e+06 3.358e+11 47.1966 0.112671 1.58486e+13 0.00679022
1.44562e+06 3.31954e+11 47.0518 0.112804 1.56191e+13 0.00679543
