# model GBW
# gerado_por sigma_nuN (PHASIS/dipole)
# formalismo Kutak-Kwiecinski EPJ C29 (2003) 521, eqs (2),(8),(9),(12),(13)
# beam nu
# use_F3 1  pdf_set CT10nlo
# Q2min_GeV2 1
# largeXFactor (1-x)^7   [regra de contagem de constituintes, n_s=4]
# GBW sigma0_mb 29.12  lambda 0.277  x0 4.1e-05  Q0sq 1
# massas_GeV  u 0.03  d 0.03  s 0.03  c 1.3113
# canais ud, cs
# quadratura_rz  Nr 120  Nz 120  rMin 1e-08  rMax 1000  zMin 1e-11   [ln r; z log nas duas pontas]
# tabela_F  Nx 121  NQ 121  xMin 2.664472562e-15  xMax 1  Q2Min 1  Q2Max 1.968400829e+14
# integracao_sigma  nos_por_decada_Q 16  nos_por_decada_x 16
# Enu_GeV sigma_GeV_minus2 sigma_cm2
17012542.8 5.611459427e-06 2.18498446e-33
18516484.18 5.775776646e-06 2.248966135e-33
20153376.86 5.938018322e-06 2.312139636e-33
21934973.99 6.107004806e-06 2.377939424e-33
23874067.72 6.279931842e-06 2.445273581e-33
25984581.05 6.47396426e-06 2.52082573e-33
28281667.8 6.651443906e-06 2.589932577e-33
30781821.43 6.840159465e-06 2.663414453e-33
33502993.42 7.018774945e-06 2.732963569e-33
36464722.23 7.216223339e-06 2.809845827e-33
39688273.55 7.410899353e-06 2.885648579e-33
43196792.97 7.613101514e-06 2.964381854e-33
47015472.24 7.821292055e-06 3.045446879e-33
51171730.07 8.04994147e-06 3.13447816e-33
55695409.06 8.270806542e-06 3.220478381e-33
60618989.93 8.49413133e-06 3.307436363e-33
65977824.8 8.715363762e-06 3.393579626e-33
71810390.93 8.933242656e-06 3.478417092e-33
78158567.08 9.171592134e-06 3.571225373e-33
85067934.16 9.413931611e-06 3.665587277e-33
92588102.54 9.659457819e-06 3.761190026e-33
100773068.2 9.93321888e-06 3.867786834e-33
109681600.5 1.019542211e-05 3.969883268e-33
119377664.2 1.045396161e-05 4.070553118e-33
129930878.4 1.070538083e-05 4.168450483e-33
141417017 1.097582368e-05 4.27375525e-33
153918552.3 1.125750449e-05 4.383435841e-33
167525247.2 1.155048688e-05 4.497517032e-33
182334800.1 1.184072107e-05 4.610528131e-33
198453545.8 1.217119707e-05 4.739208544e-33
215997219.5 1.247642965e-05 4.858059699e-33
235091787.5 1.276225243e-05 4.969353089e-33
255874352 1.307735115e-05 5.092045913e-33
278494135 1.342531126e-05 5.227534272e-33
303113550.2 1.374264761e-05 5.351098385e-33
329909368.8 1.407950764e-05 5.482264603e-33
359073989.1 1.446745085e-05 5.633321543e-33
390816817.8 1.483151929e-05 5.77508215e-33
425365773.3 1.515023777e-05 5.899184434e-33
462968922.7 1.556405427e-05 6.060315888e-33
503896262.5 1.594026997e-05 6.206806379e-33
548441657.6 1.629055831e-05 6.343201306e-33
596924951 1.667925982e-05 6.494553509e-33
649694260.4 1.709207948e-05 6.655296817e-33
707128477.9 1.750594408e-05 6.816447001e-33
769639990.2 1.792280377e-05 6.978763408e-33
837677640.1 1.840341156e-05 7.165901991e-33
911729948.5 1.88135344e-05 7.32559521e-33
992328622.9 1.929968386e-05 7.5148916e-33
1080052375 1.970818439e-05 7.673953129e-33
1175531074 2.017464774e-05 7.855584162e-33
1279450273 2.065831292e-05 8.043913225e-33
1392556129 2.120069847e-05 8.25510677e-33
1515660759 2.170433666e-05 8.451212903e-33
1649648074 2.22189721e-05 8.651601137e-33
1795480125 2.274074023e-05 8.854766689e-33
1954204008 2.327404795e-05 9.062425517e-33
2126959387 2.375215506e-05 9.248590384e-33
2314986672 2.430922195e-05 9.465500532e-33
2519635929 2.487823369e-05 9.687061754e-33
2742376573 2.545658623e-05 9.912260089e-33
2984807917 2.604502576e-05 1.014138609e-32
3248670656 2.671987091e-05 1.040415661e-32
3535859367 2.734161918e-05 1.064625234e-32
3848436109 2.790206233e-05 1.086447713e-32
4188645235 2.853699172e-05 1.11117053e-32
4558929500 2.919241029e-05 1.136691153e-32
4961947603 2.98797612e-05 1.163455153e-32
5400593279 3.056193728e-05 1.190017658e-32
5878016072 3.134452762e-05 1.220490082e-32
6397643956 3.206452391e-05 1.248525225e-32
6963207940 3.27858268e-05 1.276611245e-32
7578768864 3.354635863e-05 1.306224758e-32
8248746553 3.420284543e-05 1.331786975e-32
8977951553 3.498394871e-05 1.362201497e-32
9771619673 3.581420294e-05 1.394529853e-32
1.063544957e+10 3.656561736e-05 1.423788352e-32
1.15756437e+10 3.742810744e-05 1.457371905e-32
1.259895278e+10 3.833675851e-05 1.492752869e-32
1.371272434e+10 3.923697711e-05 1.527805491e-32
1.492495545e+10 4.001582368e-05 1.558132141e-32
1.624435011e+10 4.092194305e-05 1.593414526e-32
1.768038178e+10 4.185768871e-05 1.629850497e-32
1.924336141e+10 4.278547102e-05 1.665976392e-32
2.094451143e+10 4.374596828e-05 1.703376138e-32
2.279604637e+10 4.479793869e-05 1.744337657e-32
2.481126055e+10 4.583165829e-05 1.784588527e-32
2.700462352e+10 4.682328427e-05 1.823200361e-32
2.939188399e+10 4.786248396e-05 1.863664614e-32
3.199018285e+10 4.89037534e-05 1.904209459e-32
3.481817631e+10 4.993949474e-05 1.944539052e-32
3.789616981e+10 5.103238226e-05 1.987093797e-32
4.124626383e+10 5.218495994e-05 2.031972752e-32
4.489251258e+10 5.340667788e-05 2.079543883e-32
4.886109671e+10 5.456396777e-05 2.124606321e-32
5.318051128e+10 5.579175045e-05 2.1724136e-32
5.788177038e+10 5.706006042e-05 2.221798927e-32
6.299862978e+10 5.825220461e-05 2.268218518e-32
6.856782937e+10 5.953598245e-05 2.318206131e-32
7.462935686e+10 6.08183171e-05 2.36813755e-32
8.1226735e+10 6.214715653e-05 2.419879766e-32
8.840733402e+10 6.354483328e-05 2.474302364e-32
9.622271174e+10 6.495600087e-05 2.529250266e-32
1.047289838e+11 6.635354566e-05 2.583667726e-32
1.139872267e+11 6.777889069e-05 2.639167668e-32
1.240639159e+11 6.929053181e-05 2.698027799e-32
1.350314038e+11 7.077597704e-05 2.755867916e-32
1.469684386e+11 7.233733858e-05 2.816664056e-32
1.599607302e+11 7.387359914e-05 2.876482816e-32
1.741015652e+11 7.548053375e-05 2.939053475e-32
1.894924772e+11 7.717761942e-05 3.005134427e-32
2.062439753e+11 7.888204288e-05 3.071501098e-32
2.244763378e+11 8.054523012e-05 3.136262116e-32
2.443204762e+11 8.228488891e-05 3.204000776e-32
2.659188745e+11 8.406425261e-05 3.273285462e-32
2.894266125e+11 8.588188466e-05 3.344060237e-32
3.150124796e+11 8.78807326e-05 3.421891178e-32
3.428601864e+11 8.957696258e-05 3.487938811e-32
3.731696838e+11 9.158990034e-05 3.566318381e-32
4.061585988e+11 9.353361879e-05 3.642002695e-32
4.420637972e+11 9.558492073e-05 3.721876085e-32
4.811430839e+11 9.762043399e-05 3.801134697e-32
5.236770544e+11 9.97140145e-05 3.882654325e-32
5.699711094e+11 0.0001018857831 3.967218435e-32
6.203576476e+11 0.0001039434054 4.047337925e-32
6.751984523e+11 0.0001062879598 4.138629951e-32
7.348872892e+11 0.0001085878594 4.228183211e-32
7.998527337e+11 0.000110870431 4.317061754e-32
8.705612479e+11 0.0001132289297 4.40889674e-32
9.475205303e+11 0.0001156595521 4.503540072e-32
1.031283161e+12 0.0001182283388 4.603563234e-32
1.122450568e+12 0.0001206217134 4.696756213e-32
1.221677349e+12 0.0001231851308 4.796570306e-32
1.329675967e+12 0.0001257774854 4.89751115e-32
1.447221871e+12 0.0001282221486 4.992701201e-32
1.575159057e+12 0.0001312458181 5.110436539e-32
1.714406136e+12 0.0001339822848 5.216988806e-32
1.865962923e+12 0.0001368544166 5.328823589e-32
2.030917621e+12 0.0001397470722 5.441457522e-32
2.21045463e+12 0.0001428759393 5.563289036e-32
2.405863055e+12 0.0001455795029 5.668560127e-32
2.618545958e+12 0.0001487873121 5.79346548e-32
2.850030439e+12 0.0001519542555 5.916779605e-32
3.10197859e+12 0.0001548241697 6.028528037e-32
3.376199441e+12 0.000158474007 6.170645038e-32
3.674661941e+12 0.0001618046697 6.300334049e-32
3.999509097e+12 0.0001651809495 6.431799295e-32
4.353073365e+12 0.0001686354382 6.566309828e-32
4.737893391e+12 0.000172310413 6.709405632e-32
5.156732245e+12 0.0001757550055 6.843530827e-32
5.612597256e+12 0.0001794443926 6.987187816e-32
6.108761608e+12 0.0001832077525 7.133725148e-32
6.648787838e+12 0.000187057596 7.283629967e-32
7.236553423e+12 0.0001909929222 7.436863305e-32
7.876278611e+12 0.0001950031125 7.593011693e-32
8.572556732e+12 0.0001989820137 7.747941753e-32
9.330387173e+12 0.0002032360066 7.913583301e-32
1.015521128e+13 0.0002073936491 8.075473169e-32
1.105295141e+13 0.0002116799238 8.242371705e-32
1.203005349e+13 0.0002157278925 8.399991104e-32
1.309353327e+13 0.0002206450415 8.591454562e-32
1.42510267e+13 0.0002253481606 8.774584142e-32
1.551084477e+13 0.0002300381955 8.957204254e-32
1.688203317e+13 0.0002347231921 9.139628182e-32
1.837443725e+13 0.0002398300542 9.338478666e-32
1.999877271e+13 0.0002444499018 9.518365832e-32
2.176670253e+13 0.0002495685719 9.717676097e-32
2.369092074e+13 0.000254795459 9.921200102e-32
2.578524353e+13 0.0002600712065 1.012662663e-31
2.806470846e+13 0.0002655088828 1.033835833e-31
3.054568247e+13 0.0002709459769 1.055006735e-31
3.324597932e+13 0.000276447619 1.076428975e-31
3.61849876e+13 0.0002823029656 1.099228464e-31
3.938380983e+13 0.0002877096553 1.120280979e-31
4.286541408e+13 0.0002939130557 1.144435717e-31
4.665479882e+13 0.0003003138721 1.169359152e-31
5.077917243e+13 0.0003061588239 1.192118167e-31
5.526814857e+13 0.0003124005953 1.216422314e-31
6.01539588e+13 0.0003188071545 1.24136811e-31
6.547168402e+13 0.000325571667 1.267707701e-31
7.125950634e+13 0.0003320647825 1.29299053e-31
7.755898323e+13 0.000338696133 1.318811616e-31
8.441534596e+13 0.0003457812382 1.346399527e-31
9.187782429e+13 0.0003530099309 1.374546539e-31
1e+14 0.0003600148249 1.401822125e-31
