# r z psiT2 psiL2
0.0054117 1e-06 25.5836 0.0066612
0.0057544 1e-06 22.6271 0.00589141
0.00611881 1e-06 20.0122 0.00521058
0.00650629 1e-06 17.6995 0.00460843
0.00691831 1e-06 15.6541 0.00407586
0.00735642 1e-06 13.8451 0.00360484
0.00782228 1e-06 12.2451 0.00318826
0.00831764 1e-06 10.83 0.00281981
0.00884437 1e-06 9.57846 0.00249394
0.00940445 1e-06 8.47155 0.00220574
0.01 1e-06 7.49255 0.00195084
0.0106333 1e-06 6.62669 0.00172539
0.0113066 1e-06 5.86089 0.001526
0.0120226 1e-06 5.18359 0.00134965
0.012784 1e-06 4.58456 0.00119368
0.0135936 1e-06 4.05475 0.00105574
0.0144544 1e-06 3.58618 0.000933733
0.0153697 1e-06 3.17175 0.000825829
0.0163431 1e-06 2.80521 0.000730394
0.017378 1e-06 2.48104 0.000645988
0.0184785 1e-06 2.19432 0.000571336
0.0196487 1e-06 1.94074 0.000505312
0.020893 1e-06 1.71647 0.000446917
0.022216 1e-06 1.51811 0.00039527
0.0236229 1e-06 1.34267 0.000349592
0.0251189 1e-06 1.18751 0.000309193
0.0267096 1e-06 1.05028 0.000273462
0.028401 1e-06 0.928912 0.000241861
0.0301995 1e-06 0.821566 0.000213911
0.0321119 1e-06 0.726626 0.000189192
0.0341455 1e-06 0.642657 0.000167329
0.0363078 1e-06 0.568392 0.000147993
0.0386071 1e-06 0.50271 0.000130891
0.0410519 1e-06 0.444617 0.000115765
0.0436516 1e-06 0.393238 0.000102388
0.0464159 1e-06 0.347797 9.0556e-05
0.0493552 1e-06 0.307607 8.00917e-05
0.0524807 1e-06 0.272061 7.08367e-05
0.0558042 1e-06 0.240623 6.26511e-05
0.0593381 1e-06 0.212818 5.54116e-05
0.0630957 1e-06 0.188226 4.90086e-05
0.0670914 1e-06 0.166476 4.33456e-05
0.07134 1e-06 0.14724 3.8337e-05
0.0758578 1e-06 0.130226 3.39072e-05
0.0806616 1e-06 0.115179 2.99893e-05
0.0857696 1e-06 0.10187 2.65241e-05
0.0912011 1e-06 0.0900997 2.34594e-05
0.0969765 1e-06 0.0796893 2.07489e-05
0.103118 1e-06 0.0704819 1.83515e-05
0.109648 1e-06 0.0623386 1.62312e-05
0.116591 1e-06 0.0551362 1.43559e-05
0.123975 1e-06 0.0487661 1.26974e-05
0.131826 1e-06 0.0431322 1.12305e-05
0.140174 1e-06 0.0381492 9.93304e-06
0.14905 1e-06 0.0337421 8.78556e-06
0.158489 1e-06 0.0298442 7.77067e-06
0.168526 1e-06 0.0263968 6.87305e-06
0.179198 1e-06 0.0233477 6.07915e-06
0.190546 1e-06 0.0206509 5.37699e-06
0.202613 1e-06 0.0182657 4.75596e-06
0.215443 1e-06 0.0161562 4.20669e-06
0.229087 1e-06 0.0142903 3.72088e-06
0.243594 1e-06 0.0126401 3.2912e-06
0.25902 1e-06 0.0111805 2.91117e-06
0.275423 1e-06 0.0098896 2.57505e-06
0.292864 1e-06 0.00874781 2.27776e-06
0.311411 1e-06 0.00773793 2.01482e-06
0.331131 1e-06 0.00684473 1.78225e-06
0.352101 1e-06 0.00605471 1.57655e-06
0.374398 1e-06 0.00535595 1.39461e-06
0.398107 1e-06 0.00473791 1.23369e-06
0.423318 1e-06 0.00419125 1.09136e-06
0.450125 1e-06 0.00370774 9.65462e-07
0.47863 1e-06 0.00328007 8.54108e-07
0.50894 1e-06 0.0029018 7.55613e-07
0.54117 1e-06 0.0025672 6.68493e-07
0.57544 1e-06 0.00227124 5.91432e-07
0.611881 1e-06 0.00200946 5.23269e-07
0.650629 1e-06 0.0017779 4.62975e-07
0.691831 1e-06 0.00157306 4.09641e-07
0.735642 1e-06 0.00139187 3.62463e-07
0.782228 1e-06 0.0012316 3.20729e-07
0.831764 1e-06 0.00108981 2.83812e-07
0.884437 1e-06 0.000964389 2.51153e-07
0.940445 1e-06 0.000853432 2.22261e-07
1 1e-06 0.000755273 1.96702e-07
1.06333 1e-06 0.000668433 1.7409e-07
1.13066 1e-06 0.000591603 1.54084e-07
1.20226 1e-06 0.000523629 1.36384e-07
1.2784 1e-06 0.000463488 1.20723e-07
1.35936 1e-06 0.000410273 1.06866e-07
1.44544 1e-06 0.000363187 9.46046e-08
1.53697 1e-06 0.000321521 8.37544e-08
1.63431 1e-06 0.000284649 7.41526e-08
1.7378 1e-06 0.000252019 6.56551e-08
1.84785 1e-06 0.000223139 5.81343e-08
1.96487 1e-06 0.000197579 5.14777e-08
2.0893 1e-06 0.000174954 4.55854e-08
2.2216 1e-06 0.000154926 4.03694e-08
2.36229 1e-06 0.000137195 3.57516e-08
2.51189 1e-06 0.000121498 3.1663e-08
2.67096 1e-06 0.000107598 2.80428e-08
2.8401 1e-06 9.52898e-05 2.48368e-08
3.01995 1e-06 8.43894e-05 2.19974e-08
3.21119 1e-06 7.47347e-05 1.94824e-08
3.41455 1e-06 6.61824e-05 1.72545e-08
3.63078 1e-06 5.86059e-05 1.52807e-08
3.86071 1e-06 5.18928e-05 1.35317e-08
4.10519 1e-06 4.59441e-05 1.19818e-08
4.36516 1e-06 4.0672e-05 1.06081e-08
4.64159 1e-06 3.5999e-05 9.39035e-09
4.93552 1e-06 3.18564e-05 8.31077e-09
5.24807 1e-06 2.81836e-05 7.35355e-09
5.58042 1e-06 2.49269e-05 6.50468e-09
5.93381 1e-06 2.20388e-05 5.75183e-09
6.30957 1e-06 1.94773e-05 5.08405e-09
6.70914 1e-06 1.72053e-05 4.49167e-09
7.134 1e-06 1.51899e-05 3.96613e-09
7.58578 1e-06 1.34021e-05 3.49988e-09
8.06616 1e-06 1.18161e-05 3.08621e-09
8.57696 1e-06 1.04092e-05 2.7192e-09
9.12011 1e-06 9.16128e-06 2.39361e-09
9.69765 1e-06 8.05449e-06 2.1048e-09
10.3118 1e-06 7.07306e-06 1.84867e-09
10.9648 1e-06 6.20305e-06 1.62157e-09
11.6591 1e-06 5.43207e-06 1.42028e-09
12.3975 1e-06 4.74918e-06 1.24196e-09
13.1826 1e-06 4.14466e-06 1.08407e-09
14.0174 1e-06 3.6099e-06 9.4438e-10
14.905 1e-06 3.13726e-06 8.20889e-10
15.8489 1e-06 2.71996e-06 7.11833e-10
16.8526 1e-06 2.35197e-06 6.15643e-10
17.9198 1e-06 2.02792e-06 5.30921e-10
19.0546 1e-06 1.74304e-06 4.56423e-10
20.2613 1e-06 1.49307e-06 3.91041e-10
21.5443 1e-06 1.27422e-06 3.33783e-10
22.9087 1e-06 1.08307e-06 2.83765e-10
24.3594 1e-06 9.16599e-07 2.40192e-10
25.902 1e-06 7.72067e-07 2.02354e-10
27.5423 1e-06 6.47025e-07 1.6961e-10
29.2864 1e-06 5.39267e-07 1.41387e-10
31.1411 1e-06 4.46808e-07 1.17165e-10
33.1131 1e-06 3.67855e-07 9.64776e-11
35.2101 1e-06 3.00791e-07 7.89014e-11
37.4398 1e-06 2.44156e-07 6.40553e-11
39.8107 1e-06 1.96631e-07 5.15947e-11
42.3318 1e-06 1.57027e-07 4.12088e-11
45.0125 1e-06 1.24271e-07 3.26174e-11
47.863 1e-06 9.74019e-08 2.55686e-11
50.894 1e-06 7.55565e-08 1.98367e-11
54.117 1e-06 5.7966e-08 1.52204e-11
57.544 1e-06 4.39484e-08 1.15412e-11
61.1881 1e-06 3.29028e-08 8.64157e-12
65.0629 1e-06 2.43036e-08 6.38384e-12
69.1831 1e-06 1.76956e-08 4.64864e-12
73.5642 1e-06 1.26883e-08 3.33356e-12
