# r z psiT2 psiL2
0.311411 0.0400009 0.00654206 0.000143259
0.331131 0.0400009 0.00573452 0.000133893
0.352101 0.0400009 0.00502224 0.000124899
0.374398 0.0400009 0.00439422 0.000116274
0.398107 0.0400009 0.00384072 0.000108015
0.423318 0.0400009 0.00335311 0.000100117
0.450125 0.0400009 0.00292378 9.2578e-05
0.47863 0.0400009 0.00254597 8.53936e-05
0.50894 0.0400009 0.00221373 7.85601e-05
0.54117 0.0400009 0.00192178 7.20736e-05
0.57544 0.0400009 0.00166543 6.59298e-05
0.611881 0.0400009 0.00144057 6.01242e-05
0.650629 0.0400009 0.00124353 5.46519e-05
0.691831 0.0400009 0.00107106 4.95075e-05
0.735642 0.0400009 0.000920313 4.46852e-05
0.782228 0.0400009 0.000788733 4.01787e-05
0.831764 0.0400009 0.000674073 3.59809e-05
0.884437 0.0400009 0.00057434 3.20845e-05
0.940445 0.0400009 0.000487764 2.84812e-05
1 0.0400009 0.00041278 2.51622e-05
1.06333 0.0400009 0.000347995 2.21181e-05
1.13066 0.0400009 0.000292178 1.93388e-05
1.20226 0.0400009 0.000244231 1.68135e-05
1.2784 0.0400009 0.000203185 1.45309e-05
1.35936 0.0400009 0.000168174 1.24789e-05
1.44544 0.0400009 0.000138433 1.06451e-05
1.53697 0.0400009 0.00011328 9.01659e-06
1.63431 0.0400009 9.21112e-05 7.57998e-06
1.7378 0.0400009 7.43901e-05 6.32168e-06
1.84785 0.0400009 5.96413e-05 5.22792e-06
1.96487 0.0400009 4.74438e-05 4.28486e-06
2.0893 0.0400009 3.74256e-05 3.47872e-06
2.2216 0.0400009 2.92589e-05 2.79595e-06
2.36229 0.0400009 2.26553e-05 2.22331e-06
2.51189 0.0400009 1.73626e-05 1.74803e-06
2.67096 0.0400009 1.31608e-05 1.35792e-06
2.8401 0.0400009 9.8591e-06 1.0415e-06
3.01995 0.0400009 7.29345e-06 7.88058e-07
3.21119 0.0400009 5.32347e-06 5.87777e-07
3.41455 0.0400009 3.83025e-06 4.31754e-07
3.63078 0.0400009 2.71399e-06 3.12047e-07
3.86071 0.0400009 1.89186e-06 2.2168e-07
4.10519 0.0400009 1.29597e-06 1.54629e-07
4.36516 0.0400009 8.71412e-07 1.05785e-07
4.64159 0.0400009 5.74427e-07 7.08915e-08
4.93552 0.0400009 3.70731e-07 4.6478e-08
5.24807 0.0400009 2.33933e-07 2.97707e-08
5.58042 0.0400009 1.44107e-07 1.86031e-08
5.93381 0.0400009 8.65291e-08 1.13231e-08
6.30957 0.0400009 5.05583e-08 6.70211e-09
6.70914 0.0400009 2.86948e-08 3.85093e-09
7.134 0.0400009 1.57898e-08 2.14397e-09
7.58578 0.0400009 8.40701e-09 1.15427e-09
8.06616 0.0400009 4.32185e-09 5.9968e-10
8.57696 0.0400009 2.14032e-09 2.99971e-10
9.12011 0.0400009 1.01865e-09 1.44129e-10
9.69765 0.0400009 4.64721e-10 6.6349e-11
10.3118 0.0400009 2.02677e-10 2.91849e-11
10.9648 0.0400009 8.42567e-11 1.22314e-11
11.6591 0.0400009 3.32858e-11 4.86925e-12
12.3975 0.0400009 1.24552e-11 1.83531e-12
13.1826 0.0400009 4.39918e-12 6.52707e-13
14.0174 0.0400009 1.46124e-12 2.1822e-13
14.905 0.0400009 4.54672e-13 6.83197e-14
15.8489 0.0400009 1.31975e-13 1.99466e-14
16.8526 0.0400009 3.55776e-14 5.40686e-15
17.9198 0.0400009 8.86565e-15 1.35438e-15
19.0546 0.0400009 2.03197e-15 3.11949e-16
20.2613 0.0400009 4.26078e-16 6.57161e-17
21.5443 0.0400009 8.12765e-17 1.25908e-17
22.9087 0.0400009 1.40196e-17 2.18085e-18
24.3594 0.0400009 2.17282e-18 3.39322e-19
25.902 0.0400009 3.00522e-19 4.71052e-20
27.5423 0.0400009 3.6826e-20 5.79243e-21
29.2864 0.0400009 3.96754e-21 6.26118e-22
31.1411 0.0400009 3.72759e-22 5.9008e-23
33.1131 0.0400009 3.02764e-23 4.80681e-24
35.2101 0.0400009 2.10638e-24 3.35341e-25
37.4398 0.0400009 1.24297e-25 1.984e-26
39.8107 0.0400009 6.15663e-27 9.8512e-28
42.3318 0.0400009 2.53141e-28 4.05987e-29
45.0125 0.0400009 8.53868e-30 1.37242e-30
47.863 0.0400009 2.33335e-31 3.75811e-32
50.894 0.0400009 5.09722e-33 8.22551e-34
54.117 0.0400009 8.77584e-35 1.41876e-35
57.544 0.0400009 1.17299e-36 1.8996e-37
61.1881 0.0400009 1.19779e-38 1.94291e-39
65.0629 0.0400009 9.18641e-41 1.49237e-41
69.1831 0.0400009 5.19646e-43 8.45401e-44
73.5642 0.0400009 2.12663e-45 3.46445e-46
78.2228 0.0400009 6.16871e-48 1.00621e-48
83.1764 0.0400009 1.24092e-50 2.02657e-51
88.4437 0.0400009 1.69151e-53 2.76555e-54
94.0445 0.0400009 1.52433e-56 2.49486e-57
100 0.0400009 8.84648e-60 1.44935e-60

1e-06 0.0500009 6.78072e+08 195083
1.06333e-06 0.0500009 5.99712e+08 172538
1.13066e-06 0.0500009 5.30407e+08 152599
1.20226e-06 0.0500009 4.69111e+08 134964
1.2784e-06 0.0500009 4.14899e+08 119367
1.35936e-06 0.0500009 3.66952e+08 105573
1.44544e-06 0.0500009 3.24546e+08 93372.4
1.53697e-06 0.0500009 2.8704e+08 82581.9
1.63431e-06 0.0500009 2.53869e+08 73038.5
1.7378e-06 0.0500009 2.24531e+08 64597.9
1.84785e-06 0.0500009 1.98583e+08 57132.7
1.96487e-06 0.0500009 1.75634e+08 50530.3
2.0893e-06 0.0500009 1.55337e+08 44690.8
2.2216e-06 0.0500009 1.37386e+08 39526.2
2.36229e-06 0.0500009 1.21509e+08 34958.4
2.51189e-06 0.0500009 1.07467e+08 30918.5
2.67096e-06 0.0500009 9.50479e+07 27345.5
2.8401e-06 0.0500009 8.40638e+07 24185.3
3.01995e-06 0.0500009 7.43491e+07 21390.4
3.21119e-06 0.0500009 6.57571e+07 18918.4
3.41455e-06 0.0500009 5.8158e+07 16732.2
3.63078e-06 0.0500009 5.1437e+07 14798.5
3.86071e-06 0.0500009 4.54928e+07 13088.4
4.10519e-06 0.0500009 4.02355e+07 11575.8
4.36516e-06 0.0500009 3.55857e+07 10238.1
4.64159e-06 0.0500009 3.14733e+07 9054.94
4.93552e-06 0.0500009 2.78362e+07 8008.52
5.24807e-06 0.0500009 2.46193e+07 7083.03
5.58042e-06 0.0500009 2.17742e+07 6264.49
5.93381e-06 0.0500009 1.92579e+07 5540.54
6.30957e-06 0.0500009 1.70324e+07 4900.26
6.70914e-06 0.0500009 1.50641e+07 4333.97
7.134e-06 0.0500009 1.33232e+07 3833.12
7.58578e-06 0.0500009 1.17835e+07 3390.16
8.06616e-06 0.0500009 1.04218e+07 2998.38
8.57696e-06 0.0500009 9.21742e+06 2651.88
9.12011e-06 0.0500009 8.15222e+06 2345.42
9.69765e-06 0.0500009 7.21012e+06 2074.37
1.03118e-05 0.0500009 6.3769e+06 1834.65
1.09648e-05 0.0500009 5.63996e+06 1622.64
1.16591e-05 0.0500009 4.98819e+06 1435.12
1.23975e-05 0.0500009 4.41173e+06 1269.27
1.31826e-05 0.0500009 3.9019e+06 1122.59
1.40174e-05 0.0500009 3.45098e+06 992.862
1.4905e-05 0.0500009 3.05217e+06 878.125
1.58489e-05 0.0500009 2.69945e+06 776.646
1.68526e-05 0.0500009 2.3875e+06 686.895
1.79198e-05 0.0500009 2.11159e+06 607.516
1.90546e-05 0.0500009 1.86757e+06 537.311
2.02613e-05 0.0500009 1.65174e+06 475.218
2.15443e-05 0.0500009 1.46086e+06 420.301
2.29087e-05 0.0500009 1.29204e+06 371.73
2.43594e-05 0.0500009 1.14273e+06 328.773
2.5902e-05 0.0500009 1.01067e+06 290.78
2.75423e-05 0.0500009 893873 257.177
2.92864e-05 0.0500009 790574 227.458
3.11411e-05 0.0500009 699213 201.173
3.31131e-05 0.0500009 618409 177.925
3.52101e-05 0.0500009 546944 157.364
3.74398e-05 0.0500009 483737 139.18
3.98107e-05 0.0500009 427835 123.096
4.23318e-05 0.0500009 378393 108.872
4.50125e-05 0.0500009 334664 96.2909
4.7863e-05 0.0500009 295989 85.164
5.0894e-05 0.0500009 261784 75.3229
5.4117e-05 0.0500009 231531 66.6191
5.7544e-05 0.0500009 204775 58.9211
6.11881e-05 0.0500009 181110 52.1127
6.50629e-05 0.0500009 160180 46.0911
6.91831e-05 0.0500009 141669 40.7654
7.35642e-05 0.0500009 125298 36.0551
7.82228e-05 0.0500009 110818 31.8891
8.31764e-05 0.0500009 98011.2 28.2046
8.84437e-05 0.0500009 86684.7 24.9459
9.40445e-05 0.0500009 76667.1 22.0637
0.0001 0.0500009 67807.2 19.5146
0.000106333 0.0500009 59971.2 17.2601
0.000113066 0.0500009 53040.7 15.2661
0.000120226 0.0500009 46911.1 13.5025
0.00012784 0.0500009 41489.9 11.9428
0.000135936 0.0500009 36695.2 10.5632
0.000144544 0.0500009 32454.6 9.34314
0.000153697 0.0500009 28704 8.26401
0.000163431 0.0500009 25386.9 7.30959
0.00017378 0.0500009 22453.1 6.46546
0.000184785 0.0500009 19858.3 5.71887
0.000196487 0.0500009 17563.4 5.05855
0.00020893 0.0500009 15533.7 4.47453
0.00022216 0.0500009 13738.6 3.95799
0.000236229 0.0500009 12150.9 3.50114
0.000251189 0.0500009 10746.7 3.09707
0.000267096 0.0500009 9504.79 2.73969
0.00028401 0.0500009 8406.38 2.42361
0.000301995 0.0500009 7434.91 2.14404
0.000321119 0.0500009 6575.71 1.89678
0.000341455 0.0500009 5815.79 1.67808
0.000363078 0.0500009 5143.7 1.48464
0.000386071 0.0500009 4549.28 1.31356
0.000410519 0.0500009 4023.55 1.16224
0.000436516 0.0500009 3558.57 1.02839
0.000464159 0.0500009 3147.33 0.91001
0.000493552 0.0500009 2783.61 0.8053
0.000524807 0.0500009 2461.93 0.712684
0.000558042 0.0500009 2177.42 0.630763
0.000593381 0.0500009 1925.79 0.558303
0.000630957 0.0500009 1703.24 0.494209
0.000670914 0.0500009 1506.41 0.437514
0.0007134 0.0500009 1332.32 0.387365
0.000758578 0.0500009 1178.35 0.343004
0.000806616 0.0500009 1042.18 0.303763
0.000857696 0.0500009 921.739 0.26905
0.000912011 0.0500009 815.22 0.238341
0.000969765 0.0500009 721.01 0.211175
0.00103118 0.0500009 637.687 0.187141
0.00109648 0.0500009 563.993 0.165878
0.00116591 0.0500009 498.816 0.147066
0.00123975 0.0500009 441.171 0.130421
0.00131826 0.0500009 390.187 0.115694
0.00140174 0.0500009 345.096 0.102662
0.0014905 0.0500009 305.215 0.0911295
0.00158489 0.0500009 269.943 0.0809237
0.00168526 0.0500009 238.747 0.0718911
0.00179198 0.0500009 211.157 0.0638962
0.00190546 0.0500009 186.754 0.0568192
0.00202613 0.0500009 165.172 0.050554
0.00215443 0.0500009 146.084 0.0450069
0.00229087 0.0500009 129.202 0.0400949
0.00243594 0.0500009 114.27 0.0357448
0.0025902 0.0500009 101.065 0.0318915
0.00275423 0.0500009 89.3851 0.0284779
0.00292864 0.0500009 79.0552 0.0254531
0.00311411 0.0500009 69.9191 0.0227722
0.00331131 0.0500009 61.8388 0.0203956
0.00352101 0.0500009 54.6922 0.0182882
0.00374398 0.0500009 48.3716 0.0164189
0.00398107 0.0500009 42.7814 0.0147603
0.00423318 0.0500009 37.8372 0.013288
0.00450125 0.0500009 33.4644 0.0119806
0.0047863 0.0500009 29.5969 0.0108192
0.0050894 0.0500009 26.1764 0.00978679
0.0054117 0.0500009 23.1511 0.00886865
0.0057544 0.0500009 20.4755 0.0080516
0.00611881 0.0500009 18.1091 0.00732403
0.00650629 0.0500009 16.0161 0.00667565
0.00691831 0.0500009 14.165 0.00609736
0.00735642 0.0500009 12.5279 0.00558114
0.00782228 0.0500009 11.0799 0.00511985
0.00831764 0.0500009 9.79928 0.00470722
0.00884437 0.0500009 8.66664 0.00433768
0.00940445 0.0500009 7.66491 0.00400631
0.01 0.0500009 6.77893 0.00370876
0.0106333 0.0500009 5.99535 0.00344118
0.0113066 0.0500009 5.30232 0.00320016
0.0120226 0.0500009 4.68938 0.0029827
0.012784 0.0500009 4.14728 0.00278613
0.0135936 0.0500009 3.66783 0.00260809
0.0144544 0.0500009 3.24378 0.00244651
0.0153697 0.0500009 2.86875 0.00229954
0.0163431 0.0500009 2.53705 0.00216555
0.017378 0.0500009 2.24369 0.00204311
0.0184785 0.0500009 1.98424 0.00193093
0.0196487 0.0500009 1.75477 0.00182788
0.020893 0.0500009 1.55182 0.00173299
0.022216 0.0500009 1.37232 0.00164535
0.0236229 0.0500009 1.21358 0.00156419
0.0251189 0.0500009 1.07318 0.00148883
0.0267096 0.0500009 0.949002 0.00141865
0.028401 0.0500009 0.839181 0.00135311
0.0301995 0.0500009 0.742053 0.00129173
0.0321119 0.0500009 0.656152 0.0012341
0.0341455 0.0500009 0.580181 0.00117984
0.0363078 0.0500009 0.512991 0.00112862
0.0386071 0.0500009 0.453568 0.00108016
0.0410519 0.0500009 0.401015 0.00103418
0.0436516 0.0500009 0.354537 0.000990462
0.0464159 0.0500009 0.313432 0.000948808
0.0493552 0.0500009 0.27708 0.000909037
0.0524807 0.0500009 0.244932 0.000870992
0.0558042 0.0500009 0.2165 0.000834533
0.0593381 0.0500009 0.191357 0.000799537
0.0630957 0.0500009 0.169122 0.000765895
0.0670914 0.0500009 0.149458 0.00073351
0.07134 0.0500009 0.132069 0.000702299
0.0758578 0.0500009 0.116692 0.000672185
0.0806616 0.0500009 0.103095 0.000643103
0.0857696 0.0500009 0.0910708 0.000614994
0.0912011 0.0500009 0.0804387 0.000587806
0.0969765 0.0500009 0.0710376 0.000561493
0.103118 0.0500009 0.0627252 0.000536015
0.109648 0.0500009 0.0553758 0.000511338
0.116591 0.0500009 0.048878 0.000487428
0.123975 0.0500009 0.0431334 0.00046426
0.131826 0.0500009 0.038055 0.000441807
0.140174 0.0500009 0.0335659 0.00042005
0.14905 0.0500009 0.0295979 0.000398969
0.158489 0.0500009 0.0260907 0.000378548
0.168526 0.0500009 0.0229913 0.000358771
0.179198 0.0500009 0.0202523 0.000339626
0.190546 0.0500009 0.0178322 0.000321102
0.202613 0.0500009 0.0156942 0.000303188
0.215443 0.0500009 0.0138056 0.000285876
0.229087 0.0500009 0.0121376 0.000269157
0.243594 0.0500009 0.0106648 0.000253024
0.25902 0.0500009 0.00936447 0.000237472
0.275423 0.0500009 0.00821681 0.000222493
0.292864 0.0500009 0.00720414 0.000208084
0.311411 0.0500009 0.00631086 0.000194237
0.331131 0.0500009 0.00552316 0.00018095
0.352101 0.0500009 0.00482885 0.000168216
0.374398 0.0500009 0.00421712 0.000156032
0.398107 0.0500009 0.00367842 0.000144392
0.423318 0.0500009 0.0032043 0.000133292
0.450125 0.0500009 0.00278728 0.000122726
0.47863 0.0500009 0.00242075 0.000112688
0.50894 0.0500009 0.00209886 0.000103174
0.54117 0.0500009 0.00181642 9.41758e-05
0.57544 0.0500009 0.00156886 8.56872e-05
0.611881 0.0500009 0.0013521 7.77001e-05
0.650629 0.0500009 0.00116257 7.02062e-05
0.691831 0.0500009 0.000997069 6.31962e-05
0.735642 0.0500009 0.000852785 5.66599e-05
0.782228 0.0500009 0.000727221 5.05863e-05
0.831764 0.0500009 0.000618161 4.49632e-05
0.884437 0.0500009 0.000523643 3.97778e-05
0.940445 0.0500009 0.000441925 3.50158e-05
1 0.0500009 0.000371464 3.06622e-05
1.06333 0.0500009 0.000310888 2.6701e-05
1.13066 0.0500009 0.000258981 2.3115e-05
1.20226 0.0500009 0.000214661 1.98863e-05
1.2784 0.0500009 0.000176968 1.6996e-05
1.35936 0.0500009 0.000145051 1.44246e-05
1.44544 0.0500009 0.000118154 1.2152e-05
1.53697 0.0500009 9.56029e-05 1.01574e-05
1.63431 0.0500009 7.6804e-05 8.41988e-06
1.7378 0.0500009 6.12295e-05 6.91833e-06
1.84785 0.0500009 4.84131e-05 5.63167e-06
1.96487 0.0500009 3.79433e-05 4.53909e-06
2.0893 0.0500009 2.94584e-05 3.62022e-06
2.2216 0.0500009 2.2641e-05 2.85534e-06
2.36229 0.0500009 1.72143e-05 2.22556e-06
2.51189 0.0500009 1.2938e-05 1.71304e-06
2.67096 0.0500009 9.6046e-06 1.30109e-06
2.8401 0.0500009 7.0366e-06 9.74322e-07
3.01995 0.0500009 5.08308e-06 7.18742e-07
3.21119 0.0500009 3.61707e-06 5.21815e-07
3.41455 0.0500009 2.53286e-06 3.72482e-07
3.63078 0.0500009 1.74351e-06 2.61144e-07
3.86071 0.0500009 1.17841e-06 1.79622e-07
4.10519 0.0500009 7.81096e-07 1.21066e-07
4.36516 0.0500009 5.07087e-07 7.98592e-08
4.64159 0.0500009 3.21986e-07 5.14848e-08
4.93552 0.0500009 1.9968e-07 3.2394e-08
5.24807 0.0500009 1.20754e-07 1.98618e-08
5.58042 0.0500009 7.10925e-08 1.18479e-08
5.93381 0.0500009 4.06765e-08 6.86406e-09
6.30957 0.0500009 2.25763e-08 3.85518e-09
6.70914 0.0500009 1.2131e-08 2.095e-09
7.134 0.0500009 6.29738e-09 1.09926e-09
7.58578 0.0500009 3.15122e-09 5.55691e-10
8.06616 0.0500009 1.51643e-09 2.70003e-10
8.57696 0.0500009 7.00002e-10 1.25782e-10
9.12011 0.0500009 3.09135e-10 5.60322e-11
9.69765 0.0500009 1.30237e-10 2.3801e-11
10.3118 0.0500009 5.2185e-11 9.6115e-12
10.9648 0.0500009 1.98238e-11 3.67823e-12
11.6591 0.0500009 7.11506e-12 1.32943e-12
12.3975 0.0500009 2.40405e-12 4.52169e-13
13.1826 0.0500009 7.61742e-13 1.44173e-13
14.0174 0.0500009 2.2542e-13 4.29177e-14
14.905 0.0500009 6.20303e-14 1.18762e-14
15.8489 0.0500009 1.57991e-14 3.04091e-15
16.8526 0.0500009 3.70628e-15 7.16938e-16
17.9198 0.0500009 7.96618e-16 1.54826e-16
19.0546 0.0500009 1.56009e-16 3.04567e-17
20.2613 0.0500009 2.7674e-17 5.42542e-18
21.5443 0.0500009 4.41857e-18 8.69703e-19
22.9087 0.0500009 6.3078e-19 1.24623e-19
24.3594 0.0500009 7.99414e-20 1.585e-20
25.902 0.0500009 8.92652e-21 1.77579e-21
27.5423 0.0500009 8.71203e-22 1.7386e-22
29.2864 0.0500009 7.3684e-23 1.47484e-23
31.1411 0.0500009 5.35179e-24 1.07421e-24
33.1131 0.0500009 3.306e-25 6.65339e-26
35.2101 0.0500009 1.71919e-26 3.46856e-27
37.4398 0.0500009 7.4443e-28 1.50546e-28
39.8107 0.0500009 2.65313e-29 5.37732e-30
42.3318 0.0500009 7.6872e-31 1.56129e-31
45.0125 0.0500009 1.78712e-32 3.63682e-33
47.863 0.0500009 3.2874e-34 6.70236e-35
50.894 0.0500009 4.71438e-36 9.62849e-37
54.117 0.0500009 5.18819e-38 1.06136e-38
57.544 0.0500009 4.30865e-40 8.82802e-41
61.1881 0.0500009 2.6525e-42 5.44266e-43
65.0629 0.0500009 1.18774e-44 2.44047e-45
69.1831 0.0500009 3.79122e-47 7.80001e-48
73.5642 0.0500009 8.44343e-50 1.73926e-50
78.2228 0.0500009 1.28244e-52 2.64472e-53
83.1764 0.0500009 1.29659e-55 2.67681e-56
88.4437 0.0500009 8.50403e-59 1.75744e-59
94.0445 0.0500009 3.52043e-62 7.28226e-63
100 0.0500009 8.93423e-66 1.84978e-66

1e-06 0.0600009 6.64736e+08 195083
1.06333e-06 0.0600009 5.87916e+08 172538
1.13066e-06 0.0600009 5.19975e+08 152599
1.20226e-06 0.0600009 4.59885e+08 134964
1.2784e-06 0.0600009 4.06739e+08 119367
1.35936e-06 0.0600009 3.59735e+08 105573
1.44544e-06 0.0600009 3.18162e+08 93372.4
1.53697e-06 0.0600009 2.81394e+08 82581.9
1.63431e-06 0.0600009 2.48876e+08 73038.5
1.7378e-06 0.0600009 2.20115e+08 64597.9
1.84785e-06 0.0600009 1.94677e+08 57132.7
1.96487e-06 0.0600009 1.7218e+08 50530.3
2.0893e-06 0.0600009 1.52282e+08 44690.8
2.2216e-06 0.0600009 1.34684e+08 39526.2
2.36229e-06 0.0600009 1.19119e+08 34958.4
2.51189e-06 0.0600009 1.05353e+08 30918.5
2.67096e-06 0.0600009 9.31785e+07 27345.5
2.8401e-06 0.0600009 8.24104e+07 24185.3
3.01995e-06 0.0600009 7.28868e+07 21390.4
3.21119e-06 0.0600009 6.44638e+07 18918.4
3.41455e-06 0.0600009 5.70141e+07 16732.2
3.63078e-06 0.0600009 5.04253e+07 14798.5
3.86071e-06 0.0600009 4.4598e+07 13088.4
4.10519e-06 0.0600009 3.94441e+07 11575.8
4.36516e-06 0.0600009 3.48858e+07 10238.1
4.64159e-06 0.0600009 3.08543e+07 9054.94
4.93552e-06 0.0600009 2.72887e+07 8008.52
5.24807e-06 0.0600009 2.41351e+07 7083.03
5.58042e-06 0.0600009 2.1346e+07 6264.49
5.93381e-06 0.0600009 1.88791e+07 5540.55
6.30957e-06 0.0600009 1.66974e+07 4900.27
6.70914e-06 0.0600009 1.47678e+07 4333.98
7.134e-06 0.0600009 1.30612e+07 3833.13
7.58578e-06 0.0600009 1.15518e+07 3390.16
8.06616e-06 0.0600009 1.02168e+07 2998.38
8.57696e-06 0.0600009 9.03613e+06 2651.88
9.12011e-06 0.0600009 7.99188e+06 2345.42
9.69765e-06 0.0600009 7.06831e+06 2074.38
1.03118e-05 0.0600009 6.25147e+06 1834.66
1.09648e-05 0.0600009 5.52903e+06 1622.64
1.16591e-05 0.0600009 4.89008e+06 1435.12
1.23975e-05 0.0600009 4.32496e+06 1269.28
1.31826e-05 0.0600009 3.82515e+06 1122.6
1.40174e-05 0.0600009 3.38311e+06 992.866
1.4905e-05 0.0600009 2.99214e+06 878.128
1.58489e-05 0.0600009 2.64636e+06 776.65
1.68526e-05 0.0600009 2.34054e+06 686.899
1.79198e-05 0.0600009 2.07006e+06 607.52
1.90546e-05 0.0600009 1.83083e+06 537.314
2.02613e-05 0.0600009 1.61926e+06 475.221
2.15443e-05 0.0600009 1.43213e+06 420.304
2.29087e-05 0.0600009 1.26663e+06 371.734
2.43594e-05 0.0600009 1.12025e+06 328.776
2.5902e-05 0.0600009 990791 290.783
2.75423e-05 0.0600009 876292 257.18
2.92864e-05 0.0600009 775025 227.461
3.11411e-05 0.0600009 685460 201.176
3.31131e-05 0.0600009 606246 177.928
3.52101e-05 0.0600009 536186 157.367
3.74398e-05 0.0600009 474223 139.183
3.98107e-05 0.0600009 419420 123.099
4.23318e-05 0.0600009 370950 108.875
4.50125e-05 0.0600009 328082 96.2938
4.7863e-05 0.0600009 290168 85.1668
5.0894e-05 0.0600009 256635 75.3257
5.4117e-05 0.0600009 226977 66.6219
5.7544e-05 0.0600009 200747 58.9238
6.11881e-05 0.0600009 177548 52.1154
6.50629e-05 0.0600009 157030 46.0938
6.91831e-05 0.0600009 138883 40.768
7.35642e-05 0.0600009 122833 36.0577
7.82228e-05 0.0600009 108638 31.8917
8.31764e-05 0.0600009 96083.5 28.2072
8.84437e-05 0.0600009 84979.8 24.9484
9.40445e-05 0.0600009 75159.2 22.0662
0.0001 0.0600009 66473.6 19.5171
0.000106333 0.0600009 58791.6 17.2625
0.000113066 0.0600009 51997.5 15.2685
0.000120226 0.0600009 45988.5 13.5049
0.00012784 0.0600009 40673.9 11.9451
0.000135936 0.0600009 35973.5 10.5655
0.000144544 0.0600009 31816.2 9.3454
0.000153697 0.0600009 28139.4 8.26625
0.000163431 0.0600009 24887.6 7.31179
0.00017378 0.0600009 22011.5 6.46763
0.000184785 0.0600009 19467.7 5.72101
0.000196487 0.0600009 17218 5.06066
0.00020893 0.0600009 15228.2 4.47661
0.00022216 0.0600009 13468.4 3.96004
0.000236229 0.0600009 11911.9 3.50316
0.000251189 0.0600009 10535.3 3.09907
0.000267096 0.0600009 9317.84 2.74166
0.00028401 0.0600009 8241.04 2.42554
0.000301995 0.0600009 7288.68 2.14595
0.000321119 0.0600009 6446.37 1.89866
0.000341455 0.0600009 5701.41 1.67993
0.000363078 0.0600009 5042.53 1.48647
0.000386071 0.0600009 4459.8 1.31536
0.000410519 0.0600009 3944.41 1.16401
0.000436516 0.0600009 3488.58 1.03014
0.000464159 0.0600009 3085.43 0.911725
0.000493552 0.0600009 2728.86 0.806989
0.000524807 0.0600009 2413.51 0.714346
0.000558042 0.0600009 2134.59 0.632399
0.000593381 0.0600009 1887.91 0.559913
0.000630957 0.0600009 1669.74 0.495793
0.000670914 0.0600009 1476.78 0.439073
0.0007134 0.0600009 1306.11 0.388898
0.000758578 0.0600009 1155.18 0.344512
0.000806616 0.0600009 1021.68 0.305246
0.000857696 0.0600009 903.61 0.270508
0.000912011 0.0600009 799.185 0.239774
0.000969765 0.0600009 706.828 0.212584
0.00103118 0.0600009 625.144 0.188526
0.00109648 0.0600009 552.9 0.167239
0.00116591 0.0600009 489.005 0.148403
0.00123975 0.0600009 432.493 0.131735
0.00131826 0.0600009 382.513 0.116984
0.00140174 0.0600009 338.308 0.103929
0.0014905 0.0600009 299.211 0.0923735
0.00158489 0.0600009 264.633 0.082145
0.00168526 0.0600009 234.051 0.0730899
0.00179198 0.0600009 207.003 0.0650727
0.00190546 0.0600009 183.081 0.0579736
0.00202613 0.0600009 161.923 0.0516865
0.00215443 0.0600009 143.21 0.0461177
0.00229087 0.0600009 126.66 0.0411843
0.00243594 0.0600009 112.023 0.0368128
0.0025902 0.0600009 99.0766 0.0329386
0.00275423 0.0600009 87.6267 0.0295041
0.00292864 0.0600009 77.5 0.0264586
0.00311411 0.0600009 68.5435 0.0237574
0.00331131 0.0600009 60.6221 0.0213606
0.00352101 0.0600009 53.6162 0.0192331
0.00374398 0.0600009 47.4198 0.017344
0.00398107 0.0600009 41.9396 0.0156658
0.00423318 0.0600009 37.0926 0.0141741
0.00450125 0.0600009 32.8058 0.0128476
0.0047863 0.0600009 29.0144 0.0116672
0.0050894 0.0600009 25.6612 0.010616
0.0054117 0.0600009 22.6954 0.00967936
0.0057544 0.0600009 20.0724 0.00884398
0.00611881 0.0600009 17.7526 0.00809828
0.00650629 0.0600009 15.7008 0.00743199
0.00691831 0.0600009 13.8861 0.006836
0.00735642 0.0600009 12.2811 0.00630228
0.00782228 0.0600009 10.8617 0.00582371
0.00831764 0.0600009 9.60623 0.005394
0.00884437 0.0600009 8.49588 0.00500759
0.00940445 0.0600009 7.51385 0.00465957
0.01 0.0600009 6.6453 0.00434557
0.0106333 0.0600009 5.87713 0.00406175
0.0113066 0.0600009 5.19774 0.0038047
0.0120226 0.0600009 4.59686 0.00357142
0.012784 0.0600009 4.06543 0.00335924
0.0135936 0.0600009 3.59541 0.00316581
0.0144544 0.0600009 3.17971 0.00298903
0.0153697 0.0600009 2.81205 0.00282708
0.0163431 0.0600009 2.48688 0.00267832
0.017378 0.0600009 2.1993 0.00254132
0.0184785 0.0600009 1.94495 0.00241478
0.0196487 0.0600009 1.71999 0.0022976
0.020893 0.0600009 1.52104 0.00218877
0.022216 0.0600009 1.34508 0.00208742
0.0236229 0.0600009 1.18946 0.00199275
0.0251189 0.0600009 1.05182 0.00190409
0.0267096 0.0600009 0.930096 0.00182081
0.028401 0.0600009 0.822438 0.0017424
0.0301995 0.0600009 0.727225 0.00166835
0.0321119 0.0600009 0.643017 0.00159827
0.0341455 0.0600009 0.568543 0.00153176
0.0363078 0.0600009 0.502679 0.0014685
0.0386071 0.0600009 0.444428 0.00140821
0.0410519 0.0600009 0.392912 0.00135062
0.0436516 0.0600009 0.347352 0.0012955
0.0464159 0.0600009 0.30706 0.00124266
0.0493552 0.0600009 0.271427 0.00119191
0.0524807 0.0600009 0.239914 0.0011431
